,Gene,Cluster
0,ENSG00000100979,1.0
1,ENSG00000174348,1.0
2,ENSG00000259623,1.0
3,ENSG00000135870,1.0
4,ENSG00000042493,1.0
5,ENSG00000129009,1.0
6,ENSG00000206503,1.0
7,ENSG00000275854,1.0
8,ENSG00000139324,1.0
9,ENSG00000240065,1.0
10,ENSG00000104343,1.0
11,ENSG00000179941,1.0
12,ENSG00000110876,1.0
13,ENSG00000164219,1.0
14,ENSG00000215644,1.0
15,ENSG00000139977,1.0
16,ENSG00000019582,1.0
17,ENSG00000168487,1.0
18,ENSG00000260686,1.0
19,ENSG00000188647,1.0
20,ENSG00000168899,1.0
21,ENSG00000100097,1.0
22,ENSG00000168077,1.0
23,ENSG00000154642,1.0
24,ENSG00000168876,1.0
25,ENSG00000164209,1.0
26,ENSG00000275395,1.0
27,ENSG00000173156,1.0
28,ENSG00000012171,1.0
29,ENSG00000152484,1.0
30,ENSG00000261098,1.0
31,ENSG00000101335,1.0
32,ENSG00000106701,1.0
33,ENSG00000134049,1.0
34,ENSG00000106460,1.0
35,ENSG00000182175,1.0
36,ENSG00000131669,1.0
37,ENSG00000139826,1.0
38,ENSG00000126458,1.0
39,ENSG00000182871,1.0
40,ENSG00000159189,1.0
41,ENSG00000146757,1.0
42,ENSG00000161813,1.0
43,ENSG00000142798,1.0
44,ENSG00000178177,1.0
45,ENSG00000074695,1.0
46,ENSG00000198160,1.0
47,ENSG00000171631,1.0
48,ENSG00000136021,1.0
49,ENSG00000132470,1.0
50,ENSG00000157873,1.0
51,ENSG00000128283,1.0
52,ENSG00000100614,1.0
53,ENSG00000179403,1.0
54,ENSG00000133321,1.0
55,ENSG00000197045,1.0
56,ENSG00000077147,1.0
57,ENSG00000180667,1.0
58,ENSG00000120885,1.0
59,ENSG00000128699,1.0
60,ENSG00000009950,1.0
61,ENSG00000205765,1.0
62,ENSG00000186130,1.0
63,ENSG00000198252,1.0
64,ENSG00000116750,1.0
65,ENSG00000095574,1.0
66,ENSG00000115808,1.0
67,ENSG00000100852,1.0
68,ENSG00000092140,1.0
69,ENSG00000124795,1.0
70,ENSG00000053770,1.0
71,ENSG00000162695,1.0
72,ENSG00000205269,1.0
73,ENSG00000106624,1.0
74,ENSG00000006534,1.0
75,ENSG00000253738,1.0
76,ENSG00000170458,1.0
77,ENSG00000167779,1.0
78,ENSG00000091009,1.0
79,ENSG00000159387,1.0
80,ENSG00000067167,1.0
81,ENSG00000101439,1.0
82,ENSG00000143756,1.0
