,Gene,Cluster
0,ENSG00000270720,1.0
1,ENSG00000177692,1.0
2,ENSG00000216775,1.0
3,ENSG00000234284,1.0
4,ENSG00000272910,1.0
5,ENSG00000197841,1.0
6,ENSG00000240857,1.0
7,ENSG00000198331,1.0
8,ENSG00000169131,1.0
9,ENSG00000174579,1.0
10,ENSG00000164543,1.0
11,ENSG00000181915,1.0
12,ENSG00000107789,1.0
13,ENSG00000180346,1.0
14,ENSG00000153561,1.0
15,ENSG00000127993,1.0
16,ENSG00000213976,1.0
17,ENSG00000112029,1.0
18,ENSG00000174013,1.0
19,ENSG00000114744,1.0
20,ENSG00000159873,1.0
21,ENSG00000180787,1.0
22,ENSG00000131931,1.0
23,ENSG00000247095,1.0
24,ENSG00000273893,1.0
25,ENSG00000138399,1.0
26,ENSG00000271976,1.0
27,ENSG00000198924,1.0
28,ENSG00000243902,1.0
29,ENSG00000163029,1.0
30,ENSG00000256537,1.0
31,ENSG00000158435,1.0
32,ENSG00000113810,1.0
33,ENSG00000164941,1.0
34,ENSG00000148835,1.0
35,ENSG00000179941,1.0
36,ENSG00000134901,1.0
37,ENSG00000197050,1.0
38,ENSG00000103257,1.0
39,ENSG00000183340,1.0
40,ENSG00000183161,1.0
41,ENSG00000173349,1.0
42,ENSG00000122779,1.0
43,ENSG00000168152,1.0
44,ENSG00000145386,1.0
45,ENSG00000162999,1.0
46,ENSG00000122477,1.0
47,ENSG00000165416,1.0
48,ENSG00000130349,1.0
49,ENSG00000183814,1.0
50,ENSG00000042429,1.0
51,ENSG00000262075,1.0
52,ENSG00000196505,1.0
53,ENSG00000166263,1.0
54,ENSG00000019995,1.0
55,ENSG00000206527,1.0
56,ENSG00000176624,1.0
57,ENSG00000279722,1.0
58,ENSG00000152433,1.0
59,ENSG00000165113,1.0
60,ENSG00000163380,1.0
61,ENSG00000167384,1.0
62,ENSG00000168282,1.0
63,ENSG00000115421,1.0
64,ENSG00000138741,1.0
65,ENSG00000198900,1.0
66,ENSG00000006451,1.0
67,ENSG00000154813,1.0
68,ENSG00000169288,1.0
69,ENSG00000189266,1.0
70,ENSG00000198642,1.0
71,ENSG00000256294,1.0
72,ENSG00000242615,1.0
73,ENSG00000178338,1.0
74,ENSG00000172171,1.0
75,ENSG00000136897,1.0
76,ENSG00000170270,1.0
77,ENSG00000164654,1.0
78,ENSG00000137414,1.0
79,ENSG00000130935,1.0
80,ENSG00000273483,1.0
81,ENSG00000057663,1.0
82,ENSG00000126822,1.0
83,ENSG00000120458,1.0
84,ENSG00000162607,1.0
85,ENSG00000181004,1.0
86,ENSG00000164117,1.0
87,ENSG00000185127,1.0
88,ENSG00000280088,1.0
89,ENSG00000197780,1.0
90,ENSG00000101574,1.0
91,ENSG00000118242,1.0
92,ENSG00000159917,1.0
93,ENSG00000197798,1.0
94,ENSG00000023572,1.0
95,ENSG00000135045,1.0
96,ENSG00000164934,1.0
97,ENSG00000123545,1.0
98,ENSG00000111880,1.0
99,ENSG00000137364,1.0
100,ENSG00000186432,1.0
101,ENSG00000066654,1.0
102,ENSG00000086991,1.0
103,ENSG00000251569,1.0
104,ENSG00000127989,1.0
105,ENSG00000036054,1.0
106,ENSG00000108094,1.0
107,ENSG00000187187,1.0
108,ENSG00000197937,1.0
109,ENSG00000120694,1.0
110,ENSG00000123870,1.0
111,ENSG00000116704,1.0
112,ENSG00000116406,1.0
113,ENSG00000090060,1.0
114,ENSG00000158411,1.0
115,ENSG00000138459,1.0
116,ENSG00000125430,1.0
117,ENSG00000168522,1.0
118,ENSG00000253251,1.0
119,ENSG00000197933,1.0
120,ENSG00000204923,1.0
121,ENSG00000278133,1.0
122,ENSG00000070961,1.0
123,ENSG00000124193,1.0
124,ENSG00000111802,1.0
125,ENSG00000272054,1.0
126,ENSG00000136560,1.0
127,ENSG00000272604,1.0
128,ENSG00000168724,1.0
129,ENSG00000187607,1.0
130,ENSG00000114107,1.0
131,ENSG00000272338,1.0
132,ENSG00000267508,1.0
133,ENSG00000279059,1.0
134,ENSG00000137040,1.0
135,ENSG00000119965,1.0
136,ENSG00000122481,1.0
137,ENSG00000198774,1.0
138,ENSG00000257594,1.0
139,ENSG00000188613,1.0
140,ENSG00000147509,1.0
141,ENSG00000153147,1.0
142,ENSG00000119820,1.0
143,ENSG00000139291,1.0
144,ENSG00000128285,1.0
145,ENSG00000110066,1.0
146,ENSG00000162702,1.0
147,ENSG00000275549,1.0
148,ENSG00000143756,1.0
149,ENSG00000112996,1.0
150,ENSG00000092020,1.0
151,ENSG00000084073,1.0
152,ENSG00000272293,1.0
153,ENSG00000163389,1.0
154,ENSG00000144909,1.0
155,ENSG00000145723,1.0
156,ENSG00000114346,1.0
157,ENSG00000100522,1.0
158,ENSG00000118412,1.0
159,ENSG00000203965,1.0
160,ENSG00000180044,1.0
161,ENSG00000179477,1.0
162,ENSG00000141526,1.0
163,ENSG00000268713,1.0
164,ENSG00000267940,1.0
165,ENSG00000272375,1.0
166,ENSG00000177058,1.0
167,ENSG00000103404,1.0
168,ENSG00000087095,1.0
169,ENSG00000203880,1.0
170,ENSG00000168564,1.0
171,ENSG00000112312,1.0
172,ENSG00000004766,1.0
173,ENSG00000182405,1.0
174,ENSG00000254004,1.0
175,ENSG00000119844,1.0
176,ENSG00000186026,1.0
177,ENSG00000280798,1.0
178,ENSG00000176542,1.0
179,ENSG00000204611,1.0
180,ENSG00000198538,1.0
181,ENSG00000257267,1.0
182,ENSG00000184486,1.0
183,ENSG00000122484,1.0
184,ENSG00000170606,1.0
185,ENSG00000050130,1.0
186,ENSG00000228638,1.0
187,ENSG00000172466,1.0
188,ENSG00000149212,1.0
189,ENSG00000159885,1.0
190,ENSG00000188428,1.0
191,ENSG00000036257,1.0
192,ENSG00000283460,1.0
193,ENSG00000261094,1.0
194,ENSG00000275180,1.0
195,ENSG00000171763,1.0
196,ENSG00000119862,1.0
197,ENSG00000135932,1.0
198,ENSG00000271966,1.0
199,ENSG00000153339,1.0
200,ENSG00000242114,1.0
201,ENSG00000116161,1.0
202,ENSG00000113441,1.0
203,ENSG00000102098,1.0
204,ENSG00000224152,1.0
205,ENSG00000162600,1.0
206,ENSG00000261652,1.0
207,ENSG00000119812,1.0
208,ENSG00000114405,1.0
209,ENSG00000272921,1.0
210,ENSG00000108423,1.0
211,ENSG00000175087,1.0
212,ENSG00000269983,1.0
213,ENSG00000138081,1.0
214,ENSG00000186063,1.0
215,ENSG00000140157,1.0
216,ENSG00000185869,1.0
217,ENSG00000279522,1.0
218,ENSG00000120837,1.0
219,ENSG00000182704,1.0
220,ENSG00000135870,1.0
221,ENSG00000121417,1.0
222,ENSG00000075790,1.0
223,ENSG00000119661,1.0
224,ENSG00000168876,1.0
225,ENSG00000167842,1.0
226,ENSG00000217648,1.0
227,ENSG00000143457,1.0
228,ENSG00000215251,1.0
229,ENSG00000162630,1.0
230,ENSG00000075407,1.0
231,ENSG00000179094,1.0
232,ENSG00000271851,1.0
233,ENSG00000113300,1.0
234,ENSG00000167196,1.0
235,ENSG00000189143,1.0
236,ENSG00000155636,1.0
237,ENSG00000152484,1.0
238,ENSG00000115514,1.0
239,ENSG00000152219,1.0
240,ENSG00000171806,1.0
241,ENSG00000135845,1.0
242,ENSG00000145375,1.0
243,ENSG00000077721,1.0
244,ENSG00000125885,1.0
245,ENSG00000180917,1.0
246,ENSG00000174842,1.0
247,ENSG00000112210,1.0
248,ENSG00000165156,1.0
249,ENSG00000196922,1.0
250,ENSG00000272335,1.0
251,ENSG00000254837,1.0
252,ENSG00000186395,1.0
253,ENSG00000115827,1.0
254,ENSG00000267776,1.0
255,ENSG00000213799,1.0
256,ENSG00000188647,1.0
257,ENSG00000184786,1.0
258,ENSG00000113460,1.0
259,ENSG00000135334,1.0
260,ENSG00000173227,1.0
261,ENSG00000184517,1.0
262,ENSG00000138768,1.0
263,ENSG00000261098,1.0
264,ENSG00000163376,1.0
265,ENSG00000100442,1.0
266,ENSG00000147905,1.0
267,ENSG00000086061,1.0
268,ENSG00000164168,1.0
269,ENSG00000150773,1.0
270,ENSG00000189369,1.0
271,ENSG00000157873,1.0
272,ENSG00000205413,1.0
273,ENSG00000135999,1.0
274,ENSG00000263002,1.0
275,ENSG00000115145,1.0
276,ENSG00000272301,1.0
277,ENSG00000156026,1.0
278,ENSG00000140961,1.0
279,ENSG00000138592,1.0
280,ENSG00000198856,1.0
281,ENSG00000180257,1.0
282,ENSG00000278053,1.0
283,ENSG00000132388,1.0
284,ENSG00000279696,1.0
285,ENSG00000158234,1.0
286,ENSG00000265808,1.0
287,ENSG00000119446,1.0
288,ENSG00000152443,1.0
289,ENSG00000138686,1.0
290,ENSG00000161813,1.0
291,ENSG00000181315,1.0
292,ENSG00000108443,1.0
293,ENSG00000173960,1.0
294,ENSG00000064703,1.0
295,ENSG00000261716,1.0
296,ENSG00000152904,1.0
297,ENSG00000117477,1.0
298,ENSG00000135338,1.0
299,ENSG00000124151,1.0
300,ENSG00000183474,1.0
301,ENSG00000174720,1.0
302,ENSG00000175984,1.0
303,ENSG00000180626,1.0
304,ENSG00000051382,1.0
305,ENSG00000151491,1.0
306,ENSG00000135315,1.0
307,ENSG00000143493,1.0
308,ENSG00000196083,1.0
309,ENSG00000132329,1.0
310,ENSG00000166192,1.0
311,ENSG00000181894,1.0
312,ENSG00000119927,1.0
313,ENSG00000165506,1.0
314,ENSG00000276855,1.0
315,ENSG00000169905,1.0
316,ENSG00000168246,1.0
317,ENSG00000186019,1.0
318,ENSG00000155868,1.0
319,ENSG00000127328,1.0
320,ENSG00000095464,1.0
321,ENSG00000043093,1.0
322,ENSG00000136518,1.0
323,ENSG00000053770,1.0
324,ENSG00000276445,1.0
325,ENSG00000151287,1.0
326,ENSG00000152133,1.0
327,ENSG00000279837,1.0
328,ENSG00000152683,1.0
329,ENSG00000205423,1.0
330,ENSG00000159882,1.0
331,ENSG00000198298,1.0
332,ENSG00000128699,1.0
333,ENSG00000004961,1.0
334,ENSG00000197779,1.0
335,ENSG00000121892,1.0
336,ENSG00000138161,1.0
337,ENSG00000183475,1.0
338,ENSG00000104131,1.0
339,ENSG00000221823,1.0
340,ENSG00000257591,1.0
341,ENSG00000185716,1.0
342,ENSG00000039123,1.0
343,ENSG00000166822,1.0
344,ENSG00000179152,1.0
345,ENSG00000186660,1.0
346,ENSG00000100580,1.0
347,ENSG00000198440,1.0
348,ENSG00000116489,1.0
349,ENSG00000170954,1.0
350,ENSG00000136866,1.0
351,ENSG00000120696,1.0
352,ENSG00000009844,1.0
353,ENSG00000272993,1.0
354,ENSG00000259623,1.0
355,ENSG00000125863,1.0
356,ENSG00000242110,1.0
357,ENSG00000143322,1.0
358,ENSG00000101132,1.0
359,ENSG00000171448,1.0
360,ENSG00000213341,1.0
361,ENSG00000113456,1.0
362,ENSG00000100796,1.0
363,ENSG00000253738,1.0
364,ENSG00000146676,1.0
365,ENSG00000152380,1.0
366,ENSG00000064651,1.0
367,ENSG00000072415,1.0
368,ENSG00000244486,1.0
369,ENSG00000114757,1.0
370,ENSG00000171469,1.0
371,ENSG00000165650,1.0
372,ENSG00000106993,1.0
373,ENSG00000183423,1.0
374,ENSG00000066777,1.0
375,ENSG00000162086,1.0
376,ENSG00000261799,1.0
377,ENSG00000136122,1.0
378,ENSG00000164743,1.0
379,ENSG00000154001,1.0
380,ENSG00000139687,1.0
381,ENSG00000169118,1.0
382,ENSG00000237984,1.0
383,ENSG00000275854,1.0
