,Gene,Cluster
0,ENSG00000273014,4.0
1,ENSG00000229152,4.0
2,ENSG00000229325,4.0
3,ENSG00000261757,4.0
4,ENSG00000126821,4.0
5,ENSG00000072401,4.0
6,ENSG00000277806,4.0
7,ENSG00000106701,4.0
8,ENSG00000197045,4.0
9,ENSG00000204899,4.0
10,ENSG00000104343,4.0
11,ENSG00000270659,4.0
12,ENSG00000139163,4.0
13,ENSG00000175548,4.0
14,ENSG00000181904,4.0
15,ENSG00000259623,4.0
16,ENSG00000134758,4.0
17,ENSG00000188647,4.0
18,ENSG00000275854,4.0
19,ENSG00000151151,4.0
20,ENSG00000168283,4.0
21,ENSG00000106460,4.0
22,ENSG00000179454,4.0
23,ENSG00000155970,4.0
24,ENSG00000277245,4.0
25,ENSG00000273156,4.0
26,ENSG00000085365,4.0
27,ENSG00000164209,4.0
28,ENSG00000139826,4.0
29,ENSG00000120992,4.0
30,ENSG00000116747,4.0
31,ENSG00000164031,4.0
32,ENSG00000134970,4.0
33,ENSG00000111711,4.0
34,ENSG00000180233,4.0
35,ENSG00000198252,4.0
36,ENSG00000136603,4.0
37,ENSG00000197056,4.0
38,ENSG00000148943,4.0
39,ENSG00000139977,4.0
40,ENSG00000095574,4.0
41,ENSG00000067167,4.0
42,ENSG00000155744,4.0
43,ENSG00000267152,4.0
44,ENSG00000162980,4.0
45,ENSG00000176055,4.0
46,ENSG00000127995,4.0
47,ENSG00000134049,4.0
48,ENSG00000171016,4.0
49,ENSG00000092140,4.0
50,ENSG00000154642,4.0
51,ENSG00000271830,4.0
52,ENSG00000162695,4.0
53,ENSG00000164187,4.0
54,ENSG00000250567,4.0
55,ENSG00000123575,4.0
56,ENSG00000043093,4.0
57,ENSG00000205269,4.0
58,ENSG00000267160,4.0
59,ENSG00000186130,4.0
60,ENSG00000269916,4.0
61,ENSG00000178177,4.0
62,ENSG00000117500,4.0
63,ENSG00000139324,4.0
64,ENSG00000135870,4.0
65,ENSG00000283485,4.0
66,ENSG00000196911,4.0
67,ENSG00000165997,4.0
68,ENSG00000260838,4.0
69,ENSG00000269983,4.0
70,ENSG00000021574,4.0
71,ENSG00000261455,4.0
72,ENSG00000274561,4.0
73,ENSG00000137504,4.0
74,ENSG00000272010,4.0
75,ENSG00000177888,4.0
76,ENSG00000175161,4.0
77,ENSG00000124171,4.0
78,ENSG00000203327,4.0
79,ENSG00000272509,4.0
80,ENSG00000100852,4.0
81,ENSG00000153130,4.0
82,ENSG00000174749,4.0
83,ENSG00000175893,4.0
84,ENSG00000177683,4.0
85,ENSG00000259865,4.0
86,ENSG00000143469,4.0
87,ENSG00000100614,4.0
88,ENSG00000180776,4.0
89,ENSG00000169019,4.0
90,ENSG00000143756,4.0
91,ENSG00000144228,4.0
92,ENSG00000162688,4.0
93,ENSG00000198160,4.0
94,ENSG00000104442,4.0
95,ENSG00000166128,4.0
96,ENSG00000180044,4.0
97,ENSG00000176018,4.0
98,ENSG00000178074,4.0
99,ENSG00000156162,4.0
100,ENSG00000111605,4.0
101,ENSG00000269897,4.0
102,ENSG00000197601,4.0
103,ENSG00000281468,4.0
104,ENSG00000175073,4.0
105,ENSG00000180667,4.0
106,ENSG00000123091,4.0
107,ENSG00000128923,4.0
108,ENSG00000169193,4.0
109,ENSG00000270096,4.0
110,ENSG00000180998,4.0
111,ENSG00000261098,4.0
112,ENSG00000102471,4.0
113,ENSG00000244733,4.0
114,ENSG00000115540,4.0
115,ENSG00000104290,4.0
116,ENSG00000133641,4.0
117,ENSG00000272864,4.0
118,ENSG00000264058,4.0
119,ENSG00000139921,4.0
120,ENSG00000280123,4.0
121,ENSG00000129128,4.0
122,ENSG00000099246,4.0
123,ENSG00000185716,4.0
124,ENSG00000165169,4.0
125,ENSG00000156017,4.0
126,ENSG00000255302,4.0
127,ENSG00000133321,4.0
128,ENSG00000151239,4.0
129,ENSG00000162409,4.0
130,ENSG00000114331,4.0
131,ENSG00000279722,4.0
132,ENSG00000104219,4.0
133,ENSG00000139133,4.0
134,ENSG00000005812,4.0
135,ENSG00000197275,4.0
136,ENSG00000213639,4.0
137,ENSG00000075303,4.0
138,ENSG00000152332,4.0
139,ENSG00000113966,4.0
140,ENSG00000172007,4.0
141,ENSG00000135535,4.0
142,ENSG00000173542,4.0
143,ENSG00000081019,4.0
144,ENSG00000123728,4.0
145,ENSG00000224531,4.0
146,ENSG00000133731,4.0
147,ENSG00000163607,4.0
148,ENSG00000161813,4.0
149,ENSG00000272301,4.0
150,ENSG00000179387,4.0
151,ENSG00000162819,4.0
152,ENSG00000198087,4.0
153,ENSG00000109133,4.0
154,ENSG00000120137,4.0
155,ENSG00000163605,4.0
156,ENSG00000180008,4.0
157,ENSG00000015153,4.0
158,ENSG00000129317,4.0
159,ENSG00000146676,4.0
160,ENSG00000215417,4.0
161,ENSG00000267697,4.0
162,ENSG00000135002,4.0
163,ENSG00000154727,4.0
164,ENSG00000277443,4.0
165,ENSG00000106392,4.0
166,ENSG00000155329,4.0
167,ENSG00000135045,4.0
168,ENSG00000139154,4.0
169,ENSG00000117505,4.0
170,ENSG00000106993,4.0
171,ENSG00000091039,4.0
172,ENSG00000165417,4.0
173,ENSG00000182287,4.0
174,ENSG00000164219,4.0
175,ENSG00000105866,4.0
176,ENSG00000271324,4.0
177,ENSG00000146757,4.0
178,ENSG00000260400,4.0
179,ENSG00000196233,4.0
180,ENSG00000273402,4.0
181,ENSG00000155304,4.0
182,ENSG00000151135,4.0
183,ENSG00000065243,4.0
184,ENSG00000128609,4.0
185,ENSG00000165476,4.0
186,ENSG00000064651,4.0
187,ENSG00000197121,4.0
188,ENSG00000279561,4.0
189,ENSG00000181744,4.0
190,ENSG00000069667,4.0
191,ENSG00000033867,4.0
192,ENSG00000276282,4.0
193,ENSG00000173611,4.0
194,ENSG00000276182,4.0
195,ENSG00000281348,4.0
196,ENSG00000146476,4.0
197,ENSG00000139793,4.0
198,ENSG00000155903,4.0
199,ENSG00000170385,4.0
200,ENSG00000274422,4.0
201,ENSG00000205189,4.0
202,ENSG00000166822,4.0
203,ENSG00000174010,4.0
204,ENSG00000177565,4.0
205,ENSG00000179941,4.0
206,ENSG00000120159,4.0
207,ENSG00000164506,4.0
208,ENSG00000136021,4.0
209,ENSG00000173890,4.0
210,ENSG00000164983,4.0
211,ENSG00000185728,4.0
212,ENSG00000019582,4.0
213,ENSG00000170802,4.0
214,ENSG00000274031,4.0
215,ENSG00000117533,4.0
216,ENSG00000163291,4.0
217,ENSG00000280433,4.0
218,ENSG00000129009,4.0
219,ENSG00000118496,4.0
220,ENSG00000204116,4.0
221,ENSG00000166266,4.0
222,ENSG00000101752,4.0
223,ENSG00000272345,4.0
224,ENSG00000151553,4.0
225,ENSG00000067955,4.0
226,ENSG00000156876,4.0
227,ENSG00000164284,4.0
228,ENSG00000278305,4.0
229,ENSG00000155545,4.0
230,ENSG00000279013,4.0
231,ENSG00000006576,4.0
232,ENSG00000116191,4.0
233,ENSG00000168116,4.0
234,ENSG00000235288,4.0
235,ENSG00000117620,4.0
236,ENSG00000125730,4.0
237,ENSG00000275740,4.0
238,ENSG00000171150,4.0
239,ENSG00000257151,4.0
240,ENSG00000260878,4.0
241,ENSG00000260686,4.0
242,ENSG00000175105,4.0
243,ENSG00000087338,4.0
244,ENSG00000186908,4.0
245,ENSG00000272579,4.0
246,ENSG00000156531,4.0
247,ENSG00000042493,4.0
248,ENSG00000163743,4.0
249,ENSG00000170571,4.0
250,ENSG00000105829,4.0
251,ENSG00000119314,4.0
252,ENSG00000104427,4.0
253,ENSG00000091844,4.0
254,ENSG00000186017,4.0
255,ENSG00000174842,4.0
256,ENSG00000077147,4.0
257,ENSG00000151881,4.0
258,ENSG00000036054,4.0
259,ENSG00000081087,4.0
260,ENSG00000077458,4.0
261,ENSG00000260160,4.0
262,ENSG00000132485,4.0
263,ENSG00000196482,4.0
264,ENSG00000163738,4.0
265,ENSG00000086619,4.0
266,ENSG00000177917,4.0
267,ENSG00000122435,4.0
