,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000259865""",1,2
1,"""ENSG00000273014""",1,2
2,"""ENSG00000267152""",1,2
3,"""ENSG00000269916""",1,2
4,"""ENSG00000229325""",1,2
5,"""ENSG00000273156""",1,2
6,"""ENSG00000229152""",1,2
7,"""ENSG00000272755""",1,2
8,"""ENSG00000204899""",1,2
9,"""ENSG00000235288""",1,2
10,"""ENSG00000072401""",1,2
11,"""ENSG00000155970""",1,2
12,"""ENSG00000269897""",1,2
13,"""ENSG00000253861""",1,2
14,"""ENSG00000260772""",1,2
15,"""ENSG00000165389""",1,2
16,"""ENSG00000171119""",0,1
17,"""ENSG00000177917""",1,2
18,"""ENSG00000265203""",0,1
19,"""ENSG00000115255""",0,1
20,"""ENSG00000165886""",0,1
21,"""ENSG00000254402""",0,1
22,"""ENSG00000184897""",0,1
23,"""ENSG00000132026""",0,1
24,"""ENSG00000140859""",0,1
25,"""ENSG00000160813""",0,1
26,"""ENSG00000267160""",1,2
27,"""ENSG00000172270""",0,1
28,"""ENSG00000198816""",0,1
29,"""ENSG00000259865""",0,1
30,"""ENSG00000134970""",1,2
31,"""ENSG00000174938""",0,1
32,"""ENSG00000133243""",0,1
33,"""ENSG00000001617""",0,1
34,"""ENSG00000127220""",0,1
35,"""ENSG00000139438""",0,1
36,"""ENSG00000110697""",0,1
37,"""ENSG00000105699""",0,1
38,"""ENSG00000116035""",0,1
39,"""ENSG00000099992""",0,1
40,"""ENSG00000175221""",0,1
41,"""ENSG00000167967""",0,1
42,"""ENSG00000130479""",0,1
43,"""ENSG00000173976""",0,1
44,"""ENSG00000105971""",1,2
45,"""ENSG00000149527""",0,1
46,"""ENSG00000185527""",0,1
47,"""ENSG00000186767""",1,2
48,"""ENSG00000186765""",0,1
49,"""ENSG00000079432""",0,1
50,"""ENSG00000224051""",0,1
51,"""ENSG00000130005""",0,1
52,"""ENSG00000131408""",0,1
53,"""ENSG00000130669""",0,1
54,"""ENSG00000126461""",0,1
55,"""ENSG00000176978""",0,1
56,"""ENSG00000187017""",0,1
57,"""ENSG00000140564""",0,1
58,"""ENSG00000225968""",0,1
59,"""ENSG00000161642""",0,1
60,"""ENSG00000105701""",0,1
61,"""ENSG00000119574""",0,1
62,"""ENSG00000142186""",0,1
63,"""ENSG00000079313""",0,1
64,"""ENSG00000197858""",0,1
65,"""ENSG00000162073""",0,1
66,"""ENSG00000142655""",0,1
67,"""ENSG00000161714""",0,1
68,"""ENSG00000232434""",0,1
69,"""ENSG00000174996""",0,1
70,"""ENSG00000160325""",0,1
71,"""ENSG00000076826""",0,1
72,"""ENSG00000126603""",0,1
73,"""ENSG00000149926""",0,1
74,"""ENSG00000136720""",0,1
75,"""ENSG00000104969""",0,1
76,"""ENSG00000166165""",0,1
77,"""ENSG00000108557""",0,1
78,"""ENSG00000126254""",0,1
79,"""ENSG00000149823""",0,1
80,"""ENSG00000050820""",0,1
81,"""ENSG00000188807""",0,1
82,"""ENSG00000132563""",0,1
83,"""ENSG00000173581""",0,1
84,"""ENSG00000114349""",0,1
85,"""ENSG00000069696""",0,1
86,"""ENSG00000283472""",1,2
87,"""ENSG00000117984""",0,1
88,"""ENSG00000170604""",0,1
89,"""ENSG00000105063""",0,1
90,"""ENSG00000074964""",0,1
91,"""ENSG00000099804""",0,1
92,"""ENSG00000281453""",1,2
93,"""ENSG00000161681""",0,1
94,"""ENSG00000129535""",0,1
95,"""ENSG00000104976""",0,1
96,"""ENSG00000130734""",0,1
97,"""ENSG00000104866""",0,1
98,"""ENSG00000014164""",0,1
99,"""ENSG00000121680""",0,1
100,"""ENSG00000142459""",0,1
101,"""ENSG00000248487""",0,1
102,"""ENSG00000007080""",0,1
103,"""ENSG00000160211""",0,1
104,"""ENSG00000167969""",0,1
105,"""ENSG00000184281""",0,1
106,"""ENSG00000113763""",0,1
107,"""ENSG00000116544""",0,1
108,"""ENSG00000140983""",0,1
109,"""ENSG00000105732""",0,1
110,"""ENSG00000141522""",0,1
111,"""ENSG00000133275""",0,1
112,"""ENSG00000125534""",0,1
113,"""ENSG00000148334""",0,1
114,"""ENSG00000185924""",0,1
115,"""ENSG00000250479""",0,1
116,"""ENSG00000276045""",0,1
117,"""ENSG00000167671""",0,1
118,"""ENSG00000100241""",0,1
119,"""ENSG00000183207""",0,1
120,"""ENSG00000176108""",0,1
121,"""ENSG00000269897""",0,1
122,"""ENSG00000103152""",0,1
123,"""ENSG00000186111""",0,1
124,"""ENSG00000129925""",0,1
125,"""ENSG00000196365""",0,1
126,"""ENSG00000179526""",0,1
127,"""ENSG00000139163""",1,2
128,"""ENSG00000141985""",0,1
129,"""ENSG00000269955""",0,1
130,"""ENSG00000054356""",0,1
131,"""ENSG00000141577""",0,1
132,"""ENSG00000130294""",0,1
133,"""ENSG00000159069""",0,1
134,"""ENSG00000164880""",0,1
135,"""ENSG00000101210""",0,1
136,"""ENSG00000138623""",0,1
137,"""ENSG00000124507""",0,1
138,"""ENSG00000171813""",0,1
139,"""ENSG00000125652""",0,1
140,"""ENSG00000127399""",0,1
141,"""ENSG00000074317""",0,1
142,"""ENSG00000183751""",0,1
143,"""ENSG00000127948""",0,1
144,"""ENSG00000133265""",0,1
145,"""ENSG00000125967""",0,1
146,"""ENSG00000225663""",0,1
147,"""ENSG00000105649""",0,1
148,"""ENSG00000159733""",0,1
149,"""ENSG00000100280""",0,1
150,"""ENSG00000103249""",0,1
151,"""ENSG00000177542""",0,1
152,"""ENSG00000108106""",0,1
153,"""ENSG00000185340""",0,1
154,"""ENSG00000078808""",0,1
155,"""ENSG00000177103""",0,1
156,"""ENSG00000185236""",0,1
157,"""ENSG00000149541""",0,1
158,"""ENSG00000085644""",0,1
159,"""ENSG00000198858""",0,1
160,"""ENSG00000146540""",0,1
161,"""ENSG00000099624""",0,1
162,"""ENSG00000064932""",0,1
163,"""ENSG00000106266""",0,1
164,"""ENSG00000148204""",0,1
165,"""ENSG00000059915""",0,1
166,"""ENSG00000105409""",0,1
167,"""ENSG00000126464""",0,1
168,"""ENSG00000198055""",0,1
169,"""ENSG00000167680""",0,1
170,"""ENSG00000179292""",0,1
171,"""ENSG00000140859""",0,2
172,"""ENSG00000125611""",0,1
173,"""ENSG00000179271""",0,1
174,"""ENSG00000162383""",0,1
175,"""ENSG00000159239""",0,1
176,"""ENSG00000105357""",0,1
177,"""ENSG00000137877""",0,1
178,"""ENSG00000104805""",0,1
179,"""ENSG00000185122""",0,1
180,"""ENSG00000158106""",0,1
181,"""ENSG00000153130""",1,2
182,"""ENSG00000131094""",0,1
183,"""ENSG00000099795""",0,1
184,"""ENSG00000023191""",0,1
185,"""ENSG00000155099""",1,2
186,"""ENSG00000105669""",0,1
187,"""ENSG00000123143""",0,1
188,"""ENSG00000061938""",0,1
189,"""ENSG00000167930""",0,1
190,"""ENSG00000187634""",0,1
191,"""ENSG00000169783""",0,1
192,"""ENSG00000008710""",0,1
193,"""ENSG00000101220""",0,1
194,"""ENSG00000116809""",0,1
195,"""ENSG00000140691""",0,1
196,"""ENSG00000167674""",0,1
197,"""ENSG00000174886""",0,1
198,"""ENSG00000125656""",0,1
199,"""ENSG00000070423""",0,1
200,"""ENSG00000002822""",0,1
201,"""ENSG00000076924""",0,1
202,"""ENSG00000180891""",0,1
203,"""ENSG00000175467""",0,1
204,"""ENSG00000160685""",0,1
205,"""ENSG00000257704""",0,1
206,"""ENSG00000002330""",0,1
207,"""ENSG00000105325""",0,1
208,"""ENSG00000176946""",0,1
209,"""ENSG00000107404""",0,1
210,"""ENSG00000178209""",0,1
