,sample,clusters
0,100_2,1.0
1,101_3,2.0
2,102_2,3.0
3,103_3,4.0
4,104_2,5.0
5,105_2,6.0
6,106_4,7.0
7,107_4,8.0
0,109_1,0.0
9,110_3,10.0
10,111_2,11.0
11,112_2,12.0
12,113_2,13.0
13,114_3,14.0
1,115_1,0.0
14,116_4,15.0
2,117_1,0.0
3,119_1,0.0
8,11_4,9.0
4,120_1,0.0
15,121_3,16.0
16,122_2,17.0
17,123_3,18.0
18,124_4,19.0
19,125_4,20.0
5,126_1,0.0
20,127_2,21.0
21,128_3,22.0
22,129_2,23.0
23,130_3,24.0
24,131_3,25.0
25,132_3,26.0
26,133_4,27.0
27,134_2,28.0
28,136_2,29.0
6,137_1,0.0
29,138_2,30.0
7,139_1,0.0
30,141_2,31.0
8,142_1,0.0
31,144_3,32.0
9,145_1,0.0
32,146_2,33.0
33,147_2,34.0
34,148_4,35.0
10,149_1,0.0
36,150_4,37.0
37,152_2,38.0
11,153_1,0.0
38,154_2,39.0
39,155_3,40.0
40,156_2,41.0
41,157_4,42.0
42,158_3,43.0
43,159_3,44.0
35,15_2,36.0
44,160_4,45.0
45,161_2,46.0
12,162_1,0.0
13,163_1,0.0
46,165_2,47.0
47,166_2,48.0
48,167_2,49.0
49,168_2,50.0
50,171_2,51.0
15,172_1,0.0
16,173_1,0.0
51,174_2,52.0
52,176_2,53.0
17,177_1,0.0
53,178_4,54.0
54,179_2,55.0
14,17_1,0.0
55,180_2,56.0
56,181_2,57.0
57,182_2,58.0
58,183_2,59.0
59,184_3,60.0
60,185_2,61.0
61,186_2,62.0
62,187_2,63.0
63,188_2,64.0
19,189_1,0.0
18,18_1,0.0
65,190_2,66.0
66,191_3,67.0
67,192_2,68.0
68,193_2,69.0
69,196_3,70.0
70,197_2,71.0
71,198_4,72.0
72,199_2,73.0
64,19_2,65.0
74,200_2,75.0
75,201_2,76.0
76,202_3,77.0
77,203_4,78.0
78,204_3,79.0
79,205_2,80.0
80,206_3,81.0
81,207_2,82.0
82,208_3,83.0
83,209_4,84.0
73,20_2,74.0
85,212_3,86.0
86,215_2,87.0
87,216_2,88.0
21,217_1,0.0
22,218_1,0.0
88,219_2,89.0
84,21_2,85.0
90,220_2,91.0
91,221_3,92.0
92,223_4,93.0
93,224_4,94.0
94,225_2,95.0
95,226_4,96.0
96,227_2,97.0
97,228_4,98.0
23,229_1,0.0
89,22_2,90.0
99,232_4,100.0
100,233_2,101.0
101,234_4,102.0
102,235_3,103.0
103,236_3,104.0
24,237_1,0.0
98,23_2,99.0
105,240_2,106.0
106,241_3,107.0
107,242_3,108.0
25,243_1,0.0
108,244_3,109.0
109,245_3,110.0
26,246_1,0.0
110,247_3,111.0
111,248_3,112.0
112,249_4,113.0
104,24_2,105.0
114,250_3,115.0
27,251_1,0.0
115,252_2,116.0
116,253_4,117.0
28,254_1,0.0
113,25_3,114.0
118,263_3,119.0
29,264_1,0.0
30,265_1,0.0
31,266_1,0.0
119,267_2,120.0
120,268_3,121.0
121,269_3,122.0
117,26_3,118.0
123,270_4,124.0
124,271_2,125.0
125,272_4,126.0
126,273_2,127.0
127,276_2,128.0
128,277_2,129.0
129,278_3,130.0
130,279_2,131.0
122,27_2,123.0
132,280_4,133.0
133,281_2,134.0
134,283_3,135.0
135,284_4,136.0
136,285_3,137.0
32,286_1,0.0
137,287_2,138.0
33,288_1,0.0
138,289_2,139.0
131,28_2,132.0
34,291_1,0.0
35,292_1,0.0
36,293_1,0.0
140,294_4,141.0
37,295_1,0.0
141,296_3,142.0
142,298_3,143.0
143,299_3,144.0
139,29_3,140.0
20,2_1,0.0
145,300_4,146.0
146,301_2,147.0
147,302_4,148.0
148,303_2,149.0
149,305_2,150.0
38,307_1,0.0
39,308_1,0.0
150,309_2,151.0
144,30_2,145.0
151,310_2,152.0
40,311_1,0.0
152,312_2,153.0
41,313_1,0.0
42,314_1,0.0
43,315_1,0.0
44,316_1,0.0
45,317_1,0.0
46,318_1,0.0
47,319_1,0.0
49,320_1,0.0
50,321_1,0.0
51,322_1,0.0
52,324_1,0.0
153,326_2,154.0
154,327_2,155.0
155,328_2,156.0
156,329_2,157.0
48,32_1,0.0
158,330_2,159.0
159,331_2,160.0
160,332_2,161.0
161,333_3,162.0
162,334_4,163.0
53,335_1,0.0
163,336_3,164.0
164,337_2,165.0
165,339_2,166.0
157,33_4,158.0
167,340_2,168.0
168,341_2,169.0
169,342_2,170.0
170,343_2,171.0
171,345_3,172.0
54,347_1,0.0
55,348_1,0.0
56,349_1,0.0
166,34_2,167.0
58,350_1,0.0
59,351_1,0.0
60,352_1,0.0
61,353_1,0.0
62,354_1,0.0
63,355_1,0.0
64,356_1,0.0
172,357_2,173.0
173,358_2,174.0
174,359_2,175.0
57,35_1,0.0
175,360_2,176.0
176,361_2,177.0
177,362_2,178.0
178,363_2,179.0
179,364_4,180.0
180,365_3,181.0
181,367_3,182.0
182,368_3,183.0
183,369_2,184.0
185,370_3,186.0
186,371_3,187.0
187,372_3,188.0
188,374_3,189.0
65,375_1,0.0
66,376_1,0.0
67,377_1,0.0
189,378_2,190.0
68,379_1,0.0
184,37_2,185.0
191,380_2,192.0
192,382_3,193.0
193,383_4,194.0
69,384_1,0.0
194,385_3,195.0
70,386_1,0.0
195,387_2,196.0
196,388_4,197.0
71,389_1,0.0
190,38_2,191.0
198,390_2,199.0
199,391_2,200.0
200,392_3,201.0
72,394_1,0.0
73,396_1,0.0
201,397_4,202.0
202,398_3,203.0
203,399_3,204.0
197,39_2,198.0
205,401_2,206.0
206,402_3,207.0
207,403_4,208.0
75,404_1,0.0
76,405_1,0.0
77,406_1,0.0
208,407_2,209.0
209,409_3,210.0
204,40_2,205.0
210,410_2,211.0
211,411_4,212.0
212,412_3,213.0
79,413_1,0.0
80,414_1,0.0
81,415_1,0.0
213,416_4,214.0
214,417_4,215.0
215,418_3,216.0
216,419_4,217.0
78,41_1,0.0
217,420_4,218.0
218,421_3,219.0
