,sample,clusters
0,100_2,2
1,101_3,0
2,102_2,1
3,103_3,0
4,104_2,0
5,105_2,1
6,106_4,1
7,107_4,0
8,109_1,1
9,11_4,1
10,110_3,0
11,111_2,1
12,112_2,1
13,113_2,0
14,114_3,2
15,115_1,0
16,116_4,1
17,117_1,0
18,119_1,1
19,120_1,1
20,121_3,1
21,122_2,1
22,123_3,1
23,124_4,1
24,125_4,0
25,126_1,0
26,127_2,1
27,128_3,0
28,129_2,2
29,130_3,0
30,131_3,1
31,132_3,0
32,133_4,0
33,134_2,1
34,136_2,2
35,137_1,0
36,138_2,1
37,139_1,0
38,141_2,0
39,142_1,1
40,144_3,0
41,145_1,1
42,146_2,0
43,147_2,1
44,148_4,1
45,149_1,0
46,15_2,1
47,150_4,0
48,152_2,1
49,153_1,0
50,154_2,1
51,155_3,1
52,156_2,1
53,157_4,0
54,158_3,0
55,159_3,0
56,160_4,0
57,161_2,1
58,162_1,0
59,163_1,1
60,165_2,1
61,166_2,2
62,167_2,2
63,168_2,0
64,17_1,1
65,171_2,1
66,172_1,2
67,173_1,2
68,174_2,2
69,176_2,2
70,177_1,2
71,178_4,0
72,179_2,2
73,18_1,1
74,180_2,0
75,181_2,0
76,182_2,0
77,183_2,2
78,184_3,2
79,185_2,0
80,186_2,0
81,187_2,2
82,188_2,1
83,189_1,2
84,19_2,0
85,190_2,0
86,191_3,1
87,192_2,1
88,193_2,1
89,196_3,1
90,197_2,0
91,198_4,0
92,199_2,1
93,2_1,1
94,20_2,0
95,200_2,1
96,201_2,2
97,202_3,1
98,203_4,1
99,204_3,0
100,205_2,0
101,206_3,1
102,207_2,1
103,208_3,0
104,209_4,1
105,21_2,1
106,212_3,0
107,215_2,1
108,216_2,1
109,217_1,1
110,218_1,1
111,219_2,1
112,22_2,1
113,220_2,2
114,221_3,1
115,223_4,1
116,224_4,1
117,225_2,1
118,226_4,1
119,227_2,1
120,228_4,1
121,229_1,1
122,23_2,0
123,232_4,0
124,233_2,1
125,234_4,1
126,235_3,1
127,236_3,1
128,237_1,1
129,24_2,0
130,240_2,1
131,241_3,1
132,242_3,1
133,243_1,1
134,244_3,1
135,245_3,1
136,246_1,1
137,247_3,1
138,248_3,0
139,249_4,1
140,25_3,1
141,250_3,1
142,251_1,0
143,252_2,1
144,253_4,1
145,254_1,1
146,26_3,1
147,263_3,1
148,264_1,1
149,265_1,1
150,266_1,1
151,267_2,1
152,268_3,1
153,269_3,1
154,27_2,0
155,270_4,1
156,271_2,0
157,272_4,0
158,273_2,1
159,276_2,2
160,277_2,1
161,278_3,1
162,279_2,1
163,28_2,0
164,280_4,1
165,281_2,1
166,283_3,1
167,284_4,1
168,285_3,1
169,286_1,1
170,287_2,1
171,288_1,1
172,289_2,1
173,29_3,1
174,291_1,0
175,292_1,1
176,293_1,0
177,294_4,2
178,295_1,1
179,296_3,1
180,298_3,0
181,299_3,0
182,30_2,2
183,300_4,1
184,301_2,1
185,302_4,1
186,303_2,1
187,305_2,1
188,307_1,0
189,308_1,1
190,309_2,1
191,310_2,1
192,311_1,0
193,312_2,0
194,313_1,1
195,314_1,0
196,315_1,0
197,316_1,1
198,317_1,1
199,318_1,2
200,319_1,2
201,32_1,1
202,320_1,1
203,321_1,2
204,322_1,2
205,324_1,0
206,326_2,3
207,327_2,3
208,328_2,2
209,329_2,2
210,33_4,0
211,330_2,2
212,331_2,0
213,332_2,0
214,333_3,0
215,334_4,2
216,335_1,2
217,336_3,2
218,337_2,2
219,339_2,1
220,34_2,0
221,340_2,0
222,341_2,1
223,342_2,2
224,343_2,2
225,345_3,1
226,347_1,1
227,348_1,3
228,349_1,2
229,35_1,0
230,350_1,2
231,351_1,2
232,352_1,2
233,353_1,2
234,354_1,2
235,355_1,3
236,356_1,2
237,357_2,2
238,358_2,2
239,359_2,2
240,360_2,2
241,361_2,2
242,362_2,2
243,363_2,2
244,364_4,1
245,365_3,2
246,367_3,2
247,368_3,2
248,369_2,2
249,37_2,0
250,370_3,2
251,371_3,0
252,372_3,0
253,374_3,2
254,375_1,0
255,376_1,2
256,377_1,2
257,378_2,0
258,379_1,0
259,38_2,3
260,380_2,1
261,382_3,0
262,383_4,0
263,384_1,2
264,385_3,3
265,386_1,0
266,387_2,0
267,388_4,0
268,389_1,0
269,39_2,1
270,390_2,1
271,391_2,0
272,392_3,0
273,394_1,1
274,396_1,0
275,397_4,0
276,398_3,0
277,399_3,0
278,4_1,1
279,40_2,0
280,401_2,0
281,402_3,0
282,403_4,2
283,404_1,0
284,405_1,0
285,406_1,2
286,407_2,2
287,409_3,2
288,41_1,1
289,410_2,2
290,411_4,1
291,412_3,0
292,413_1,0
293,414_1,0
294,415_1,0
295,416_4,0
296,417_4,0
297,418_3,2
298,419_4,2
299,42_1,1
300,420_4,1
301,421_3,3
302,422_3,3
303,423_2,2
304,424_2,2
305,425_1,1
306,426_3,2
307,427_2,2
308,428_4,0
309,429_3,3
310,43_1,1
311,430_3,0
312,431_3,0
313,432_3,1
314,433_2,0
315,434_2,3
316,435_2,2
317,436_2,0
318,437_4,0
319,438_2,0
320,440_2,3
321,441_2,3
322,442_2,0
323,443_2,0
324,445_2,0
325,446_3,3
