,sample,clusters
0,100_2,3
1,101_3,2
2,102_2,2
3,103_3,2
4,104_2,0
5,105_2,3
6,106_4,2
7,107_4,0
8,109_1,2
9,11_4,1
10,110_3,2
11,111_2,3
12,112_2,2
13,113_2,2
14,114_3,3
15,115_1,2
16,116_4,2
17,117_1,0
18,119_1,2
19,120_1,2
20,121_3,2
21,122_2,2
22,123_3,2
23,124_4,2
24,125_4,2
25,126_1,2
26,127_2,2
27,128_3,2
28,129_2,2
29,130_3,2
30,131_3,2
31,132_3,0
32,133_4,0
33,134_2,2
34,136_2,3
35,137_1,0
36,138_2,2
37,139_1,2
38,141_2,2
39,142_1,2
40,144_3,2
41,145_1,2
42,146_2,2
43,147_2,2
44,148_4,2
45,149_1,2
46,15_2,2
47,150_4,0
48,152_2,2
49,153_1,2
50,154_2,2
51,155_3,0
52,156_2,2
53,157_4,2
54,158_3,2
55,159_3,2
56,160_4,0
57,161_2,2
58,162_1,0
59,163_1,2
60,165_2,2
61,166_2,3
62,167_2,2
63,168_2,2
64,17_1,2
65,171_2,2
66,172_1,2
67,173_1,3
68,174_2,3
69,176_2,2
70,177_1,2
71,178_4,2
72,179_2,2
73,18_1,2
74,180_2,3
75,181_2,2
76,182_2,3
77,183_2,3
78,184_3,3
79,185_2,2
80,186_2,2
81,187_2,3
82,188_2,3
83,189_1,3
84,19_2,3
85,190_2,2
86,191_3,2
87,192_2,2
88,193_2,2
89,196_3,3
90,197_2,2
91,198_4,2
92,199_2,2
93,2_1,3
94,20_2,3
95,200_2,2
96,201_2,3
97,202_3,2
98,203_4,3
99,204_3,2
100,205_2,3
101,206_3,2
102,207_2,2
103,208_3,2
104,209_4,2
105,21_2,2
106,212_3,0
107,215_2,2
108,216_2,2
109,217_1,2
110,218_1,3
111,219_2,2
112,22_2,2
113,220_2,3
114,221_3,3
115,223_4,2
116,224_4,2
117,225_2,2
118,226_4,2
119,227_2,2
120,228_4,2
121,229_1,2
122,23_2,3
123,232_4,2
124,233_2,2
125,234_4,2
126,235_3,2
127,236_3,3
128,237_1,2
129,24_2,0
130,240_2,2
131,241_3,2
132,242_3,3
133,243_1,2
134,244_3,2
135,245_3,2
136,246_1,2
137,247_3,2
138,248_3,0
139,249_4,2
140,25_3,2
141,250_3,2
142,251_1,2
143,252_2,3
144,253_4,2
145,254_1,2
146,26_3,2
147,263_3,2
148,264_1,2
149,265_1,2
150,266_1,2
151,267_2,2
152,268_3,2
153,269_3,2
154,27_2,0
155,270_4,2
156,271_2,2
157,272_4,2
158,273_2,2
159,276_2,3
160,277_2,2
161,278_3,2
162,279_2,3
163,28_2,3
164,280_4,2
165,281_2,2
166,283_3,3
167,284_4,2
168,285_3,2
169,286_1,2
170,287_2,2
171,288_1,2
172,289_2,2
173,29_3,2
174,291_1,2
175,292_1,2
176,293_1,3
177,294_4,3
178,295_1,2
179,296_3,2
180,298_3,2
181,299_3,2
182,30_2,3
183,300_4,2
184,301_2,2
185,302_4,3
186,303_2,3
187,305_2,3
188,307_1,3
189,308_1,3
190,309_2,2
191,310_2,2
192,311_1,2
193,312_2,2
194,313_1,0
195,314_1,0
196,315_1,2
197,316_1,0
198,317_1,3
199,318_1,2
200,319_1,3
201,32_1,2
202,320_1,3
203,321_1,3
204,322_1,3
205,324_1,2
206,326_2,1
207,327_2,1
208,328_2,3
209,329_2,3
210,33_4,2
211,330_2,3
212,331_2,3
213,332_2,3
214,333_3,2
215,334_4,3
216,335_1,3
217,336_3,3
218,337_2,3
219,339_2,2
220,34_2,0
221,340_2,2
222,341_2,3
223,342_2,3
224,343_2,3
225,345_3,2
226,347_1,2
227,348_1,3
228,349_1,3
229,35_1,0
230,350_1,3
