,sample,clusters
0,100_2,0
1,101_3,1
2,102_2,2
3,103_3,3
4,104_2,4
5,105_2,5
6,106_4,6
7,107_4,7
8,109_1,8
9,11_4,9
10,110_3,10
11,111_2,11
12,112_2,12
13,113_2,13
14,114_3,14
15,115_1,15
16,116_4,16
17,117_1,17
18,119_1,18
19,120_1,19
20,121_3,20
21,122_2,21
22,123_3,22
23,124_4,23
24,125_4,24
25,126_1,25
26,127_2,26
27,128_3,27
28,129_2,28
29,130_3,29
30,131_3,30
31,132_3,31
32,133_4,32
33,134_2,33
34,136_2,34
35,137_1,35
36,138_2,36
37,139_1,37
38,141_2,38
39,142_1,39
40,144_3,40
41,145_1,41
42,146_2,42
43,147_2,43
44,148_4,44
45,149_1,45
46,15_2,46
47,150_4,47
48,152_2,48
49,153_1,49
50,154_2,50
51,155_3,51
52,156_2,52
53,157_4,53
54,158_3,54
55,159_3,55
56,160_4,56
57,161_2,57
58,162_1,58
59,163_1,59
60,165_2,60
61,166_2,61
62,167_2,62
63,168_2,63
64,17_1,64
65,171_2,65
66,172_1,66
67,173_1,67
68,174_2,68
69,176_2,69
70,177_1,70
71,178_4,71
72,179_2,72
73,18_1,73
74,180_2,74
75,181_2,75
76,182_2,76
77,183_2,77
78,184_3,78
79,185_2,79
80,186_2,80
81,187_2,81
82,188_2,82
83,189_1,83
84,19_2,84
85,190_2,85
86,191_3,86
87,192_2,87
88,193_2,88
89,196_3,89
90,197_2,90
91,198_4,91
92,199_2,92
93,2_1,93
94,20_2,94
95,200_2,95
96,201_2,96
97,202_3,97
98,203_4,98
99,204_3,99
100,205_2,100
101,206_3,101
102,207_2,102
103,208_3,103
104,209_4,104
105,21_2,105
106,212_3,106
107,215_2,107
108,216_2,108
109,217_1,109
110,218_1,110
111,219_2,111
112,22_2,112
113,220_2,113
114,221_3,114
115,223_4,115
116,224_4,116
117,225_2,117
118,226_4,118
119,227_2,119
120,228_4,120
121,229_1,121
122,23_2,122
123,232_4,123
124,233_2,124
125,234_4,125
126,235_3,126
127,236_3,127
128,237_1,128
129,24_2,129
130,240_2,130
131,241_3,131
132,242_3,132
133,243_1,133
134,244_3,134
135,245_3,135
136,246_1,136
137,247_3,137
138,248_3,138
139,249_4,139
140,25_3,140
141,250_3,141
142,251_1,142
143,252_2,143
144,253_4,144
145,254_1,145
146,26_3,146
147,263_3,147
148,264_1,148
149,265_1,149
150,266_1,150
