,sample,clusters
0,100_2,1
1,101_3,1
2,102_2,4
3,103_3,0
4,104_2,1
5,105_2,4
6,106_4,0
7,107_4,0
8,109_1,0
9,11_4,0
10,110_3,5
11,111_2,4
12,112_2,0
13,113_2,1
14,114_3,1
15,115_1,1
16,116_4,0
17,117_1,0
18,119_1,0
19,120_1,0
20,121_3,0
21,122_2,4
22,123_3,0
23,124_4,4
24,125_4,0
25,126_1,5
26,127_2,0
27,128_3,5
28,129_2,1
29,130_3,0
30,131_3,0
31,132_3,0
32,133_4,1
33,134_2,0
34,136_2,4
35,137_1,0
36,138_2,2
37,139_1,0
38,141_2,0
39,142_1,0
40,144_3,0
41,145_1,0
42,146_2,0
43,147_2,2
44,148_4,0
45,149_1,5
46,15_2,4
47,150_4,0
48,152_2,2
49,153_1,0
50,154_2,2
51,155_3,0
52,156_2,2
53,157_4,1
54,158_3,1
55,159_3,0
56,160_4,5
57,161_2,2
58,162_1,5
59,163_1,4
60,165_2,4
61,166_2,4
62,167_2,1
63,168_2,1
64,17_1,0
65,171_2,4
66,172_1,1
67,173_1,3
68,174_2,1
69,176_2,1
70,177_1,1
71,178_4,1
72,179_2,1
73,18_1,0
74,180_2,1
75,181_2,1
76,182_2,1
77,183_2,1
78,184_3,1
79,185_2,1
80,186_2,1
81,187_2,1
82,188_2,4
83,189_1,1
84,19_2,1
85,190_2,1
86,191_3,4
87,192_2,0
88,193_2,4
89,196_3,4
90,197_2,5
91,198_4,0
92,199_2,0
93,2_1,0
94,20_2,1
95,200_2,4
96,201_2,1
97,202_3,4
98,203_4,4
99,204_3,1
100,205_2,0
101,206_3,2
102,207_2,0
103,208_3,1
104,209_4,0
105,21_2,0
106,212_3,1
107,215_2,0
108,216_2,0
109,217_1,0
110,218_1,4
111,219_2,4
112,22_2,0
113,220_2,4
114,221_3,4
115,223_4,4
116,224_4,4
117,225_2,4
118,226_4,4
119,227_2,4
120,228_4,4
121,229_1,0
122,23_2,3
123,232_4,1
124,233_2,4
125,234_4,4
126,235_3,4
127,236_3,4
128,237_1,4
129,24_2,5
130,240_2,0
131,241_3,4
132,242_3,4
133,243_1,4
134,244_3,4
135,245_3,2
136,246_1,2
137,247_3,4
138,248_3,5
139,249_4,0
140,25_3,0
141,250_3,0
142,251_1,1
143,252_2,4
144,253_4,0
145,254_1,0
146,26_3,0
147,263_3,2
148,264_1,4
149,265_1,0
150,266_1,0
151,267_2,0
152,268_3,0
153,269_3,4
154,27_2,5
155,270_4,0
156,271_2,1
157,272_4,1
158,273_2,0
159,276_2,1
160,277_2,0
161,278_3,0
162,279_2,4
163,28_2,1
164,280_4,0
165,281_2,0
166,283_3,4
167,284_4,4
168,285_3,4
169,286_1,2
170,287_2,4
171,288_1,0
172,289_2,0
173,29_3,2
174,291_1,1
175,292_1,4
176,293_1,1
177,294_4,4
178,295_1,4
179,296_3,4
180,298_3,5
181,299_3,0
182,30_2,3
183,300_4,4
184,301_2,4
185,302_4,4
186,303_2,4
187,305_2,4
188,307_1,5
189,308_1,0
190,309_2,2
191,310_2,0
192,311_1,0
193,312_2,5
194,313_1,0
195,314_1,5
196,315_1,0
197,316_1,0
198,317_1,4
199,318_1,1
200,319_1,1
201,32_1,0
202,320_1,1
203,321_1,1
204,322_1,3
205,324_1,3
206,326_2,3
207,327_2,3
208,328_2,1
209,329_2,3
210,33_4,5
211,330_2,1
212,331_2,1
213,332_2,1
214,333_3,1
215,334_4,1
216,335_1,1
217,336_3,1
218,337_2,1
219,339_2,4
220,34_2,1
221,340_2,1
222,341_2,4
223,342_2,1
224,343_2,1
225,345_3,4
226,347_1,4
227,348_1,3
228,349_1,1
229,35_1,3
230,350_1,3
231,351_1,1
232,352_1,3
233,353_1,3
234,354_1,1
235,355_1,3
236,356_1,3
237,357_2,1
238,358_2,1
239,359_2,4
240,360_2,4
241,361_2,4
242,362_2,1
243,363_2,1
244,364_4,1
245,365_3,1
246,367_3,1
247,368_3,1
248,369_2,1
249,37_2,1
250,370_3,1
251,371_3,1
252,372_3,1
253,374_3,3
254,375_1,1
255,376_1,1
256,377_1,1
257,378_2,1
258,379_1,1
259,38_2,3
260,380_2,2
261,382_3,1
262,383_4,1
263,384_1,1
264,385_3,3
265,386_1,1
266,387_2,1
267,388_4,3
268,389_1,1
269,39_2,0
270,390_2,0
271,391_2,1
272,392_3,1
273,394_1,1
274,396_1,1
275,397_4,5
276,398_3,5
277,399_3,5
278,4_1,0
279,40_2,5
280,401_2,5
281,402_3,1
282,403_4,1
283,404_1,1
284,405_1,1
285,406_1,1
286,407_2,1
287,409_3,1
288,41_1,2
289,410_2,1
290,411_4,4
291,412_3,5
292,413_1,5
293,414_1,5
294,415_1,5
295,416_4,5
296,417_4,0
297,418_3,3
298,419_4,1
299,42_1,0
300,420_4,4
301,421_3,3
302,422_3,3
303,423_2,1
304,424_2,1
305,425_1,4
306,426_3,1
307,427_2,1
308,428_4,5
309,429_3,5
310,43_1,0
311,430_3,5
312,431_3,5
313,432_3,0
314,433_2,5
315,434_2,3
316,435_2,3
317,436_2,5
318,437_4,5
319,438_2,5
320,440_2,3
321,441_2,3
322,442_2,0
323,443_2,0
324,445_2,1
325,446_3,3
326,447_1,3
327,448_3,3
328,449_3,3
329,45_3,0
330,450_3,3
331,451_4,3
332,452_1,3
333,453_2,4
334,454_3,3
335,456_3,0
336,457_3,5
337,458_3,0
338,459_4,0
339,46_4,1
340,461_3,5
341,462_3,0
342,463_3,3
343,464_3,3
344,465_2,1
345,466_1,3
346,467_3,5
347,468_1,1
348,47_4,0
349,470_2,1
350,471_2,1
351,473_4,0
352,474_3,1
353,475_3,4
354,476_3,0
355,477_4,0
356,478_3,4
357,479_2,3
358,48_2,4
359,480_1,4
360,482_3,0
361,483_3,3
362,484_4,0
363,485_2,4
364,486_2,1
365,487_2,1
366,488_2,1
367,489_3,5
368,49_2,0
369,490_1,5
370,491_1,0
371,492_3,0
372,494_2,1
373,495_1,0
374,496_3,3
375,497_4,4
376,499_1,5
377,50_2,0
378,500_3,5
379,501_1,5
380,502_2,5
381,503_1,1
382,504_2,5
383,505_2,0
384,506_1,3
385,507_2,3
386,508_2,0
387,509_4,0
388,51_2,0
389,510_2,5
390,511_3,0
391,512_2,1
392,514_3,3
393,515_4,3
394,516_4,3
395,517_1,1
396,518_1,1
397,519_3,5
398,520_3,5
399,521_4,5
400,522_2,1
401,523_4,1
402,524_2,5
403,525_2,5
404,526_1,1
405,527_3,3
406,528_2,5
407,529_2,5
408,53_2,0
409,530_3,4
410,55_3,0
411,56_2,0
412,57_2,0
413,58_2,2
414,59_3,0
415,6_1,0
416,60_4,0
417,62_2,4
418,63_2,0
419,65_2,0
420,66_3,0
421,67_3,0
422,68_2,0
423,7_3,1
424,70_3,0
425,71_2,4
426,72_2,1
427,73_4,0
428,75_2,1
429,76_3,0
430,77_2,1
431,78_3,0
432,79_3,0
433,8_2,4
434,80_2,4
435,81_1,0
436,82_2,0
437,84_2,0
438,85_2,5
439,86_2,0
440,87_2,0
441,89_1,0
442,9_1,0
443,90_2,0
444,91_2,4
445,92_3,0
446,93_2,2
447,94_4,0
448,95_4,0
449,96_3,0
450,97_2,1
451,98_3,0
452,99_1,0
