,sample,clusters
0,100_2,0
1,101_3,1
2,102_2,0
3,103_3,3
4,104_2,3
5,105_2,2
6,106_4,3
7,107_4,3
8,109_1,3
9,11_4,3
10,110_3,3
11,111_2,2
12,112_2,3
13,113_2,3
14,114_3,0
15,115_1,1
16,116_4,3
17,117_1,3
18,119_1,3
19,120_1,3
20,121_3,3
21,122_2,0
22,123_3,1
23,124_4,3
24,125_4,3
25,126_1,3
26,127_2,1
27,128_3,1
28,129_2,0
29,130_3,1
30,131_3,3
31,132_3,3
32,133_4,3
33,134_2,3
34,136_2,2
35,137_1,3
36,138_2,3
37,139_1,0
38,141_2,1
39,142_1,1
40,144_3,1
41,145_1,3
42,146_2,3
43,147_2,3
44,148_4,3
45,149_1,1
46,15_2,2
47,150_4,1
48,152_2,3
49,153_1,3
50,154_2,3
51,155_3,2
52,156_2,3
53,157_4,3
54,158_3,3
55,159_3,1
56,160_4,1
57,161_2,3
58,162_1,1
59,163_1,0
60,165_2,0
61,166_2,2
62,167_2,0
63,168_2,1
64,17_1,3
65,171_2,1
66,172_1,0
67,173_1,3
68,174_2,0
69,176_2,0
70,177_1,0
71,178_4,0
72,179_2,0
73,18_1,1
74,180_2,2
75,181_2,0
76,182_2,1
77,183_2,2
78,184_3,0
79,185_2,0
80,186_2,0
81,187_2,3
82,188_2,0
83,189_1,1
84,19_2,3
85,190_2,0
86,191_3,1
87,192_2,0
88,193_2,1
89,196_3,2
90,197_2,0
91,198_4,1
92,199_2,0
93,2_1,2
94,20_2,3
95,200_2,0
96,201_2,0
97,202_3,3
98,203_4,3
99,204_3,0
100,205_2,1
101,206_3,1
102,207_2,1
103,208_3,0
104,209_4,1
105,21_2,3
106,212_3,1
107,215_2,3
108,216_2,0
109,217_1,1
110,218_1,2
111,219_2,0
112,22_2,3
113,220_2,0
114,221_3,0
115,223_4,0
116,224_4,0
117,225_2,0
118,226_4,0
119,227_2,0
120,228_4,0
121,229_1,0
122,23_2,0
123,232_4,0
124,233_2,0
125,234_4,3
126,235_3,0
127,236_3,0
128,237_1,3
129,24_2,1
130,240_2,1
131,241_3,1
132,242_3,2
133,243_1,1
134,244_3,3
135,245_3,2
136,246_1,0
137,247_3,0
138,248_3,3
139,249_4,3
140,25_3,3
141,250_3,0
142,251_1,1
143,252_2,2
144,253_4,1
145,254_1,0
146,26_3,1
147,263_3,2
148,264_1,0
149,265_1,0
150,266_1,0
