Genes,Cluster
100_2,1
101_3,0
102_2,2
103_3,0
104_2,0
105_2,3
106_4,0
107_4,0
109_1,0
11_4,0
110_3,0
111_2,1
112_2,0
113_2,0
114_3,3
115_1,0
116_4,0
117_1,0
119_1,0
120_1,0
121_3,0
122_2,1
123_3,0
124_4,2
125_4,0
126_1,0
127_2,0
128_3,0
129_2,1
130_3,0
131_3,0
132_3,0
133_4,0
134_2,2
136_2,3
137_1,0
138_2,2
139_1,0
141_2,0
142_1,0
144_3,0
145_1,0
146_2,0
147_2,0
148_4,0
149_1,0
15_2,2
150_4,0
152_2,0
153_1,0
154_2,2
155_3,0
156_2,0
157_4,0
158_3,0
159_3,0
160_4,0
161_2,0
162_1,0
163_1,1
165_2,2
166_2,1
167_2,1
168_2,1
17_1,0
171_2,2
172_1,2
173_1,3
174_2,3
176_2,1
177_1,1
178_4,2
179_2,2
18_1,0
180_2,1
181_2,2
182_2,2
183_2,1
184_3,2
185_2,2
186_2,2
187_2,3
188_2,3
189_1,2
19_2,0
190_2,2
191_3,2
192_2,0
193_2,0
196_3,3
197_2,0
198_4,0
199_2,0
2_1,0
20_2,2
200_2,0
201_2,3
202_3,2
203_4,2
204_3,0
205_2,0
206_3,2
207_2,0
208_3,0
209_4,0
21_2,0
212_3,0
215_2,0
216_2,2
217_1,2
218_1,2
219_2,2
22_2,0
220_2,3
221_3,2
223_4,2
224_4,2
225_2,2
226_4,2
227_2,2
228_4,2
229_1,2
23_2,1
232_4,2
233_2,2
234_4,2
235_3,2
236_3,2
237_1,2
24_2,0
240_2,2
241_3,2
242_3,2
243_1,2
244_3,2
245_3,2
246_1,2
247_3,2
248_3,2
249_4,2
25_3,0
250_3,0
251_1,2
252_2,1
253_4,2
254_1,2
26_3,0
263_3,2
264_1,2
265_1,2
266_1,2
267_2,2
268_3,2
269_3,2
27_2,0
270_4,2
271_2,2
272_4,2
273_2,2
276_2,2
277_2,2
278_3,2
279_2,1
28_2,2
280_4,2
281_2,2
283_3,2
284_4,2
285_3,2
286_1,2
287_2,2
288_1,2
289_2,2
29_3,0
291_1,2
292_1,1
293_1,1
294_4,2
295_1,3
296_3,2
298_3,2
299_3,3
30_2,2
300_4,2
301_2,2
302_4,2
303_2,1
305_2,1
307_1,2
308_1,0
309_2,2
310_2,2
311_1,2
312_2,2
313_1,2
314_1,3
315_1,2
316_1,1
317_1,2
318_1,2
319_1,1
32_1,0
320_1,2
321_1,1
322_1,3
324_1,2
326_2,2
327_2,2
328_2,1
329_2,1
33_4,0
330_2,2
331_2,2
332_2,2
333_3,2
334_4,2
335_1,2
336_3,2
337_2,2
339_2,2
34_2,0
340_2,2
341_2,3
342_2,1
343_2,0
345_3,2
347_1,2
348_1,0
349_1,2
35_1,0
350_1,1
351_1,1
352_1,1
353_1,1
354_1,1
355_1,2
356_1,1
357_2,1
358_2,1
359_2,1
360_2,1
361_2,1
362_2,1
363_2,1
364_4,2
365_3,2
367_3,1
368_3,2
369_2,1
37_2,2
370_3,2
371_3,2
372_3,2
374_3,0
375_1,2
376_1,1
377_1,1
378_2,2
379_1,2
38_2,0
380_2,2
382_3,2
383_4,2
384_1,2
385_3,0
386_1,1
387_2,2
388_4,2
389_1,2
39_2,0
390_2,2
391_2,2
392_3,2
394_1,2
396_1,2
397_4,2
398_3,2
399_3,0
4_1,0
40_2,3
401_2,2
402_3,2
403_4,1
404_1,2
405_1,2
406_1,1
407_2,1
409_3,2
41_1,2
410_2,1
411_4,2
412_3,2
413_1,3
414_1,2
415_1,2
416_4,2
417_4,2
418_3,1
419_4,1
42_1,0
420_4,2
421_3,2
422_3,0
423_2,1
424_2,2
425_1,2
426_3,2
427_2,3
428_4,3
429_3,2
43_1,0
430_3,3
431_3,2
432_3,2
433_2,2
434_2,2
435_2,3
436_2,2
437_4,3
438_2,2
440_2,3
441_2,0
442_2,2
443_2,2
445_2,1
446_3,1
447_1,1
448_3,0
449_3,1
45_3,0
450_3,1
451_4,3
452_1,3
453_2,2
454_3,1
456_3,2
457_3,2
458_3,2
459_4,2
46_4,0
461_3,2
462_3,3
463_3,1
464_3,3
465_2,1
466_1,2
467_3,2
468_1,2
47_4,0
470_2,2
471_2,3
473_4,2
474_3,2
475_3,2
476_3,3
477_4,3
478_3,2
479_2,3
48_2,2
480_1,1
482_3,2
483_3,1
484_4,2
485_2,3
486_2,0
487_2,1
488_2,2
489_3,2
49_2,0
490_1,2
491_1,2
492_3,2
494_2,2
495_1,2
496_3,0
497_4,2
499_1,2
50_2,0
500_3,2
501_1,3
502_2,2
503_1,0
504_2,0
505_2,2
506_1,3
507_2,2
508_2,0
509_4,2
51_2,2
510_2,0
511_3,2
512_2,2
514_3,3
515_4,3
516_4,3
517_1,2
518_1,2
519_3,2
520_3,2
521_4,0
522_2,0
523_4,3
524_2,2
525_2,2
526_1,1
527_3,0
528_2,2
529_2,2
53_2,0
530_3,2
55_3,0
56_2,0
57_2,0
58_2,0
59_3,0
6_1,0
60_4,0
62_2,0
63_2,0
65_2,0
66_3,0
67_3,0
68_2,0
7_3,0
70_3,0
71_2,0
72_2,2
73_4,0
75_2,0
76_3,0
77_2,0
78_3,0
79_3,0
8_2,2
80_2,0
81_1,0
82_2,0
84_2,0
85_2,0
86_2,0
87_2,0
89_1,0
9_1,0
90_2,0
91_2,2
92_3,0
93_2,2
94_4,0
95_4,0
96_3,0
97_2,1
98_3,0
99_1,0
