Genes,Cluster
100_2,2
101_3,3
102_2,2
103_3,3
104_2,2
105_2,2
106_4,4
107_4,4
109_1,1
11_4,4
110_3,3
111_2,2
112_2,2
113_2,2
114_3,3
115_1,1
116_4,4
117_1,1
119_1,1
120_1,1
121_3,3
122_2,2
123_3,3
124_4,4
125_4,4
126_1,1
127_2,2
128_3,3
129_2,2
130_3,3
131_3,3
132_3,3
133_4,4
134_2,2
136_2,2
137_1,1
138_2,2
139_1,1
141_2,2
142_1,1
144_3,3
145_1,1
146_2,2
147_2,2
148_4,4
149_1,1
15_2,2
150_4,4
152_2,2
153_1,1
154_2,2
155_3,3
156_2,2
157_4,4
158_3,3
159_3,3
160_4,4
161_2,2
162_1,1
163_1,1
165_2,2
166_2,2
167_2,2
168_2,2
17_1,1
171_2,2
172_1,1
173_1,1
174_2,2
176_2,2
177_1,1
178_4,4
179_2,2
18_1,1
180_2,2
181_2,2
182_2,2
183_2,2
184_3,3
185_2,2
186_2,2
187_2,2
188_2,2
189_1,1
19_2,2
190_2,2
191_3,3
192_2,2
193_2,2
196_3,3
197_2,2
198_4,4
199_2,2
2_1,1
20_2,2
200_2,2
201_2,2
202_3,3
203_4,4
204_3,3
205_2,2
206_3,3
207_2,2
208_3,3
209_4,4
21_2,2
212_3,3
215_2,2
216_2,2
217_1,1
218_1,1
219_2,2
22_2,2
220_2,2
221_3,3
223_4,4
224_4,4
225_2,2
226_4,4
227_2,2
228_4,4
229_1,1
23_2,2
232_4,4
233_2,2
234_4,4
235_3,3
236_3,3
237_1,1
24_2,2
240_2,2
241_3,3
242_3,3
243_1,1
244_3,3
245_3,3
246_1,1
247_3,3
248_3,3
249_4,4
25_3,3
250_3,3
251_1,1
252_2,2
253_4,4
254_1,1
26_3,3
263_3,3
264_1,1
265_1,1
266_1,1
267_2,2
268_3,3
269_3,3
27_2,2
270_4,4
271_2,2
272_4,4
273_2,2
276_2,2
277_2,2
278_3,3
279_2,2
28_2,2
280_4,4
281_2,2
283_3,3
284_4,4
285_3,3
286_1,1
287_2,2
288_1,1
289_2,2
29_3,3
291_1,1
292_1,1
293_1,1
294_4,4
295_1,1
296_3,3
298_3,3
299_3,3
30_2,2
300_4,4
301_2,2
302_4,4
303_2,2
305_2,2
307_1,1
308_1,1
309_2,2
310_2,2
311_1,1
312_2,2
313_1,1
314_1,1
315_1,1
316_1,1
317_1,1
318_1,1
319_1,1
32_1,1
320_1,1
321_1,1
322_1,1
324_1,1
326_2,2
327_2,2
328_2,2
329_2,2
33_4,4
330_2,2
331_2,2
332_2,2
333_3,3
334_4,4
335_1,1
336_3,3
337_2,2
339_2,2
34_2,2
340_2,2
341_2,2
342_2,2
343_2,2
345_3,3
347_1,1
348_1,1
349_1,1
35_1,1
350_1,1
351_1,1
352_1,1
353_1,1
354_1,1
355_1,1
356_1,1
357_2,2
358_2,2
359_2,2
360_2,2
361_2,2
362_2,2
363_2,2
364_4,4
365_3,3
367_3,3
368_3,3
369_2,2
37_2,2
370_3,3
371_3,3
372_3,3
374_3,3
375_1,1
376_1,1
377_1,1
378_2,2
379_1,1
38_2,2
380_2,2
382_3,3
383_4,4
384_1,1
385_3,3
386_1,1
387_2,2
388_4,4
389_1,1
39_2,2
390_2,2
391_2,2
392_3,3
394_1,1
396_1,1
397_4,4
398_3,3
399_3,3
4_1,1
40_2,2
401_2,2
402_3,3
403_4,4
404_1,1
405_1,1
406_1,1
407_2,2
409_3,3
41_1,1
410_2,2
411_4,4
412_3,3
413_1,1
414_1,1
415_1,1
416_4,4
417_4,4
418_3,3
419_4,4
42_1,1
420_4,4
421_3,3
422_3,3
423_2,2
424_2,2
425_1,1
426_3,3
427_2,2
428_4,4
429_3,3
43_1,1
430_3,3
431_3,3
432_3,3
433_2,2
434_2,2
435_2,2
436_2,2
437_4,4
438_2,2
440_2,2
441_2,2
442_2,2
443_2,2
445_2,2
446_3,3
447_1,1
448_3,3
449_3,3
45_3,3
450_3,3
451_4,4
452_1,1
453_2,2
454_3,3
456_3,3
457_3,3
458_3,3
459_4,4
46_4,4
461_3,3
462_3,3
463_3,3
464_3,3
465_2,2
466_1,1
467_3,3
468_1,1
47_4,4
470_2,2
471_2,2
473_4,4
474_3,3
475_3,3
476_3,3
477_4,4
478_3,3
479_2,2
48_2,2
480_1,1
482_3,3
483_3,3
484_4,4
485_2,2
486_2,2
487_2,2
488_2,2
489_3,3
49_2,2
490_1,1
491_1,1
492_3,3
494_2,2
495_1,1
496_3,3
497_4,4
499_1,1
50_2,2
500_3,3
501_1,1
502_2,2
503_1,1
504_2,2
505_2,2
506_1,1
507_2,2
508_2,2
509_4,4
51_2,2
510_2,2
511_3,3
512_2,2
514_3,3
515_4,4
516_4,4
517_1,1
518_1,1
519_3,3
520_3,3
521_4,4
522_2,2
523_4,4
524_2,2
525_2,2
526_1,1
527_3,3
528_2,2
529_2,2
53_2,2
530_3,3
55_3,3
56_2,2
57_2,2
58_2,2
59_3,3
6_1,1
60_4,4
62_2,2
63_2,2
65_2,2
66_3,3
67_3,3
68_2,2
7_3,3
70_3,3
71_2,2
72_2,2
73_4,4
75_2,2
76_3,3
77_2,2
78_3,3
79_3,3
8_2,2
80_2,2
81_1,1
82_2,2
84_2,2
85_2,2
86_2,2
87_2,2
89_1,1
9_1,1
90_2,2
91_2,2
92_3,3
93_2,2
94_4,4
95_4,4
96_3,3
97_2,2
98_3,3
99_1,1
