Genes,Cluster
100_2,2
101_3,2
102_2,0
103_3,0
104_2,3
105_2,2
106_4,0
107_4,0
109_1,0
11_4,0
110_3,3
111_2,0
112_2,0
113_2,3
114_3,2
115_1,3
116_4,0
117_1,0
119_1,0
120_1,0
121_3,0
122_2,2
123_3,0
124_4,0
125_4,0
126_1,3
127_2,0
128_3,3
129_2,2
130_3,3
131_3,0
132_3,3
133_4,3
134_2,0
136_2,2
137_1,0
138_2,0
139_1,0
141_2,0
142_1,0
144_3,0
145_1,0
146_2,3
147_2,0
148_4,0
149_1,3
15_2,0
150_4,0
152_2,0
153_1,3
154_2,0
155_3,0
156_2,0
157_4,3
158_3,3
159_3,0
160_4,3
161_2,0
162_1,3
163_1,2
165_2,0
166_2,2
167_2,2
168_2,2
17_1,0
171_2,0
172_1,2
173_1,2
174_2,2
176_2,2
177_1,2
178_4,2
179_2,2
18_1,0
180_2,2
181_2,3
182_2,2
183_2,2
184_3,2
185_2,0
186_2,2
187_2,2
188_2,0
189_1,2
19_2,2
190_2,3
191_3,0
192_2,0
193_2,0
196_3,0
197_2,3
198_4,0
199_2,0
2_1,0
20_2,3
200_2,0
201_2,2
202_3,0
203_4,0
204_3,3
205_2,0
206_3,0
207_2,0
208_3,2
209_4,0
21_2,0
212_3,3
215_2,0
216_2,0
217_1,0
218_1,0
219_2,0
22_2,0
220_2,2
221_3,0
223_4,0
224_4,0
225_2,0
226_4,0
227_2,0
228_4,0
229_1,0
23_2,3
232_4,2
233_2,0
234_4,0
235_3,0
236_3,0
237_1,0
24_2,3
240_2,0
241_3,0
242_3,0
243_1,0
244_3,0
245_3,0
246_1,0
247_3,0
248_3,3
249_4,0
25_3,0
250_3,0
251_1,0
252_2,0
253_4,0
254_1,0
26_3,0
263_3,0
264_1,0
265_1,0
266_1,0
267_2,0
268_3,0
269_3,0
27_2,3
270_4,0
271_2,0
272_4,0
273_2,0
276_2,2
277_2,0
278_3,0
279_2,0
28_2,3
280_4,0
281_2,0
283_3,0
284_4,0
285_3,0
286_1,0
287_2,0
288_1,0
289_2,0
29_3,0
291_1,2
292_1,0
293_1,2
294_4,2
295_1,0
296_3,0
298_3,3
299_3,3
30_2,2
300_4,0
301_2,0
302_4,0
303_2,0
305_2,0
307_1,3
308_1,0
309_2,0
310_2,0
311_1,0
312_2,3
313_1,0
314_1,3
315_1,3
316_1,0
317_1,0
318_1,2
319_1,2
32_1,0
320_1,2
321_1,2
322_1,2
324_1,3
326_2,1
327_2,1
328_2,2
329_2,1
33_4,3
330_2,2
331_2,3
332_2,2
333_3,2
334_4,2
335_1,2
336_3,2
337_2,2
339_2,0
34_2,3
340_2,3
341_2,0
342_2,2
343_2,2
345_3,0
347_1,0
348_1,1
349_1,2
35_1,3
350_1,2
351_1,2
352_1,1
353_1,2
354_1,2
355_1,1
356_1,1
357_2,2
358_2,2
359_2,2
360_2,2
361_2,2
362_2,2
363_2,2
364_4,2
365_3,2
367_3,2
368_3,2
369_2,2
37_2,2
370_3,2
371_3,2
372_3,2
374_3,2
375_1,2
376_1,2
377_1,2
378_2,2
379_1,2
38_2,1
380_2,0
382_3,2
383_4,3
384_1,2
385_3,1
386_1,2
387_2,2
388_4,2
389_1,2
39_2,0
390_2,0
391_2,3
392_3,3
394_1,2
396_1,3
397_4,3
398_3,3
399_3,3
4_1,0
40_2,3
401_2,3
402_3,3
403_4,2
404_1,2
405_1,2
406_1,2
407_2,2
409_3,2
41_1,0
410_2,2
411_4,0
412_3,3
413_1,3
414_1,3
415_1,3
416_4,3
417_4,0
418_3,1
419_4,2
42_1,0
420_4,2
421_3,1
422_3,1
423_2,2
424_2,2
425_1,0
426_3,2
427_2,2
428_4,3
429_3,1
43_1,0
430_3,3
431_3,3
432_3,0
433_2,3
434_2,1
435_2,2
436_2,3
437_4,3
438_2,3
440_2,1
441_2,1
442_2,3
443_2,3
445_2,3
446_3,1
447_1,1
448_3,1
449_3,1
45_3,3
450_3,1
451_4,1
452_1,1
453_2,0
454_3,1
456_3,0
457_3,3
458_3,0
459_4,0
46_4,3
461_3,3
462_3,0
463_3,1
464_3,1
465_2,2
466_1,1
467_3,3
468_1,3
47_4,0
470_2,2
471_2,2
473_4,0
474_3,0
475_3,0
476_3,2
477_4,0
478_3,0
479_2,1
48_2,0
480_1,0
482_3,0
483_3,1
484_4,0
485_2,0
486_2,2
487_2,2
488_2,2
489_3,3
49_2,0
490_1,3
491_1,3
492_3,0
494_2,2
495_1,3
496_3,1
497_4,0
499_1,3
50_2,0
500_3,3
501_1,3
502_2,3
503_1,2
504_2,3
505_2,0
506_1,1
507_2,1
508_2,0
509_4,0
51_2,0
510_2,3
511_3,0
512_2,3
514_3,1
515_4,1
516_4,1
517_1,0
518_1,3
519_3,3
520_3,3
521_4,3
522_2,2
523_4,2
524_2,3
525_2,3
526_1,3
527_3,1
528_2,3
529_2,3
53_2,0
530_3,0
55_3,0
56_2,0
57_2,0
58_2,0
59_3,0
6_1,0
60_4,3
62_2,0
63_2,3
65_2,3
66_3,0
67_3,0
68_2,0
7_3,3
70_3,0
71_2,0
72_2,2
73_4,0
75_2,2
76_3,0
77_2,2
78_3,0
79_3,0
8_2,2
80_2,0
81_1,0
82_2,0
84_2,0
85_2,3
86_2,0
87_2,0
89_1,3
9_1,0
90_2,0
91_2,0
92_3,0
93_2,0
94_4,3
95_4,0
96_3,0
97_2,2
98_3,0
99_1,0
