,sample,clusters
0,100_2,1
1,101_3,1
2,102_2,5
3,103_3,5
4,104_2,4
5,105_2,0
6,106_4,5
7,107_4,5
8,109_1,5
9,11_4,5
10,110_3,4
11,111_2,0
12,112_2,5
13,113_2,4
14,114_3,1
15,115_1,4
16,116_4,5
17,117_1,5
18,119_1,5
19,120_1,5
20,121_3,5
21,122_2,0
22,123_3,5
23,124_4,5
24,125_4,5
25,126_1,4
26,127_2,5
27,128_3,4
28,129_2,1
29,130_3,5
30,131_3,5
31,132_3,5
32,133_4,0
33,134_2,5
34,136_2,0
35,137_1,5
36,138_2,5
37,139_1,5
38,141_2,5
39,142_1,5
40,144_3,5
41,145_1,5
42,146_2,4
43,147_2,5
44,148_4,5
45,149_1,4
46,15_2,0
47,150_4,5
48,152_2,5
49,153_1,5
50,154_2,5
51,155_3,5
52,156_2,5
53,157_4,0
54,158_3,0
55,159_3,5
56,160_4,4
57,161_2,5
58,162_1,4
59,163_1,0
60,165_2,0
61,166_2,0
62,167_2,0
63,168_2,0
64,17_1,5
65,171_2,0
66,172_1,1
67,173_1,1
68,174_2,0
69,176_2,0
70,177_1,0
71,178_4,1
72,179_2,1
73,18_1,5
74,180_2,1
75,181_2,0
76,182_2,0
77,183_2,1
78,184_3,0
79,185_2,0
80,186_2,1
81,187_2,1
82,188_2,5
83,189_1,1
84,19_2,1
85,190_2,0
86,191_3,0
87,192_2,5
88,193_2,5
89,196_3,0
90,197_2,4
91,198_4,5
92,199_2,5
93,2_1,5
94,20_2,1
95,200_2,5
96,201_2,0
97,202_3,0
98,203_4,0
99,204_3,4
100,205_2,0
101,206_3,5
102,207_2,5
103,208_3,0
104,209_4,0
105,21_2,5
106,212_3,0
107,215_2,5
108,216_2,5
109,217_1,5
110,218_1,0
111,219_2,0
112,22_2,5
113,220_2,0
114,221_3,0
115,223_4,5
116,224_4,5
117,225_2,0
118,226_4,0
119,227_2,0
120,228_4,0
121,229_1,5
122,23_2,1
123,232_4,0
124,233_2,0
125,234_4,0
126,235_3,0
127,236_3,0
128,237_1,5
129,24_2,4
130,240_2,0
131,241_3,0
132,242_3,5
133,243_1,5
134,244_3,5
135,245_3,5
136,246_1,5
137,247_3,5
138,248_3,4
139,249_4,5
140,25_3,5
141,250_3,5
142,251_1,0
143,252_2,5
144,253_4,0
145,254_1,5
146,26_3,5
147,263_3,5
148,264_1,0
149,265_1,5
150,266_1,5
151,267_2,5
152,268_3,5
153,269_3,5
154,27_2,4
155,270_4,0
156,271_2,0
157,272_4,0
158,273_2,5
159,276_2,1
160,277_2,5
161,278_3,5
162,279_2,5
163,28_2,1
164,280_4,5
165,281_2,5
166,283_3,5
167,284_4,0
168,285_3,5
169,286_1,5
170,287_2,5
171,288_1,5
172,289_2,5
173,29_3,5
174,291_1,1
175,292_1,0
176,293_1,0
177,294_4,0
178,295_1,0
179,296_3,5
180,298_3,4
181,299_3,5
182,30_2,1
183,300_4,5
184,301_2,0
185,302_4,0
186,303_2,0
187,305_2,0
188,307_1,4
189,308_1,5
190,309_2,5
191,310_2,5
192,311_1,5
193,312_2,4
194,313_1,5
195,314_1,4
196,315_1,5
197,316_1,0
198,317_1,0
199,318_1,0
200,319_1,1
201,32_1,5
202,320_1,0
203,321_1,1
204,322_1,1
205,324_1,4
206,326_2,4
207,327_2,3
208,328_2,1
209,329_2,3
210,33_4,4
211,330_2,1
212,331_2,4
213,332_2,1
214,333_3,1
215,334_4,1
216,335_1,1
217,336_3,1
218,337_2,1
219,339_2,5
220,34_2,4
221,340_2,4
222,341_2,0
223,342_2,0
224,343_2,0
225,345_3,5
226,347_1,5
227,348_1,1
228,349_1,1
229,35_1,4
230,350_1,1
231,351_1,1
232,352_1,1
233,353_1,1
234,354_1,1
235,355_1,3
236,356_1,3
237,357_2,1
238,358_2,1
239,359_2,0
240,360_2,0
241,361_2,0
242,362_2,0
243,363_2,0
244,364_4,0
245,365_3,1
246,367_3,0
247,368_3,1
248,369_2,0
249,37_2,1
250,370_3,1
251,371_3,0
252,372_3,1
253,374_3,1
254,375_1,1
255,376_1,0
256,377_1,1
257,378_2,0
258,379_1,0
259,38_2,2
260,380_2,5
261,382_3,1
262,383_4,1
263,384_1,1
264,385_3,3
265,386_1,0
266,387_2,1
267,388_4,1
268,389_1,1
269,39_2,5
270,390_2,5
271,391_2,4
272,392_3,4
273,394_1,0
274,396_1,4
275,397_4,4
276,398_3,4
277,399_3,4
278,4_1,5
279,40_2,4
280,401_2,4
281,402_3,4
282,403_4,1
283,404_1,1
284,405_1,0
285,406_1,1
286,407_2,0
287,409_3,0
288,41_1,5
289,410_2,0
290,411_4,0
291,412_3,4
292,413_1,4
293,414_1,4
294,415_1,4
295,416_4,4
296,417_4,5
297,418_3,3
298,419_4,1
299,42_1,5
300,420_4,0
301,421_3,3
302,422_3,3
303,423_2,1
304,424_2,1
305,425_1,0
306,426_3,0
307,427_2,0
308,428_4,4
309,429_3,2
310,43_1,5
311,430_3,4
312,431_3,4
313,432_3,5
314,433_2,5
315,434_2,1
316,435_2,1
317,436_2,4
318,437_4,4
319,438_2,4
320,440_2,2
321,441_2,2
322,442_2,5
323,443_2,5
324,445_2,1
325,446_3,3
326,447_1,2
327,448_3,3
328,449_3,3
329,45_3,5
330,450_3,3
331,451_4,3
332,452_1,3
333,453_2,0
334,454_3,3
335,456_3,5
336,457_3,4
337,458_3,5
338,459_4,5
339,46_4,1
340,461_3,4
341,462_3,0
342,463_3,3
343,464_3,2
344,465_2,1
345,466_1,2
346,467_3,4
347,468_1,4
348,47_4,0
349,470_2,1
350,471_2,1
351,473_4,5
352,474_3,0
353,475_3,0
354,476_3,0
355,477_4,5
356,478_3,5
357,479_2,3
358,48_2,0
359,480_1,0
360,482_3,5
361,483_3,3
362,484_4,5
363,485_2,0
364,486_2,1
365,487_2,0
366,488_2,1
367,489_3,4
368,49_2,5
369,490_1,4
370,491_1,5
371,492_3,5
372,494_2,1
373,495_1,5
374,496_3,3
375,497_4,0
376,499_1,4
377,50_2,5
378,500_3,4
379,501_1,4
380,502_2,4
381,503_1,0
382,504_2,4
383,505_2,5
384,506_1,3
385,507_2,4
386,508_2,5
387,509_4,5
388,51_2,0
389,510_2,4
390,511_3,5
391,512_2,1
392,514_3,2
393,515_4,3
394,516_4,3
395,517_1,0
396,518_1,4
397,519_3,4
398,520_3,4
399,521_4,4
400,522_2,1
401,523_4,1
402,524_2,4
403,525_2,4
404,526_1,1
405,527_3,1
406,528_2,4
407,529_2,4
408,53_2,0
409,530_3,0
410,55_3,5
411,56_2,5
412,57_2,5
413,58_2,5
414,59_3,5
415,6_1,5
416,60_4,5
417,62_2,0
418,63_2,5
419,65_2,5
420,66_3,5
421,67_3,5
422,68_2,5
423,7_3,1
424,70_3,5
425,71_2,5
426,72_2,0
427,73_4,5
428,75_2,1
429,76_3,5
430,77_2,1
431,78_3,5
432,79_3,5
433,8_2,0
434,80_2,5
435,81_1,5
436,82_2,0
437,84_2,5
438,85_2,4
439,86_2,5
440,87_2,5
441,89_1,5
442,9_1,5
443,90_2,5
444,91_2,0
445,92_3,5
446,93_2,5
447,94_4,5
448,95_4,5
449,96_3,0
450,97_2,0
451,98_3,5
452,99_1,5
