,sample,clusters
0,100_2,4
1,101_3,0
2,102_2,0
3,103_3,3
4,104_2,3
5,105_2,4
6,106_4,0
7,107_4,1
8,109_1,0
9,11_4,3
10,110_3,0
11,111_2,4
12,112_2,0
13,113_2,0
14,114_3,4
15,115_1,3
16,116_4,0
17,117_1,0
18,119_1,0
19,120_1,0
20,121_3,0
21,122_2,0
22,123_3,0
23,124_4,0
24,125_4,3
25,126_1,0
26,127_2,3
27,128_3,1
28,129_2,4
29,130_3,3
30,131_3,0
31,132_3,3
32,133_4,1
33,134_2,0
34,136_2,4
35,137_1,3
36,138_2,0
37,139_1,3
38,141_2,3
39,142_1,3
40,144_3,0
41,145_1,0
42,146_2,3
43,147_2,0
44,148_4,3
45,149_1,3
46,15_2,0
47,150_4,1
48,152_2,0
49,153_1,3
50,154_2,0
51,155_3,0
52,156_2,0
53,157_4,3
54,158_3,3
55,159_3,3
56,160_4,3
57,161_2,0
58,162_1,1
59,163_1,0
60,165_2,0
61,166_2,4
62,167_2,0
63,168_2,0
64,17_1,0
65,171_2,4
66,172_1,0
67,173_1,5
68,174_2,4
69,176_2,0
70,177_1,0
71,178_4,0
72,179_2,4
73,18_1,3
74,180_2,4
75,181_2,0
76,182_2,4
77,183_2,4
78,184_3,4
79,185_2,0
80,186_2,0
81,187_2,4
82,188_2,4
83,189_1,3
84,19_2,4
85,190_2,3
86,191_3,0
87,192_2,0
88,193_2,0
89,196_3,4
90,197_2,0
91,198_4,0
92,199_2,0
93,2_1,3
94,20_2,1
95,200_2,0
96,201_2,4
97,202_3,0
98,203_4,4
99,204_3,0
100,205_2,4
101,206_3,0
102,207_2,0
103,208_3,0
104,209_4,0
105,21_2,0
106,212_3,4
107,215_2,3
108,216_2,3
109,217_1,0
110,218_1,0
111,219_2,0
112,22_2,0
113,220_2,4
114,221_3,0
115,223_4,0
116,224_4,3
117,225_2,0
118,226_4,0
119,227_2,0
120,228_4,0
121,229_1,0
122,23_2,1
123,232_4,0
124,233_2,0
