,sample,clusters
0,100_2,2
1,101_3,2
2,102_2,4
3,103_3,4
4,104_2,2
5,105_2,3
6,106_4,4
7,107_4,4
8,109_1,4
9,11_4,4
10,110_3,4
11,111_2,3
12,112_2,4
13,113_2,4
14,114_3,3
15,115_1,2
16,116_4,4
17,117_1,4
18,119_1,4
19,120_1,4
20,121_3,4
21,122_2,3
22,123_3,4
23,124_4,4
24,125_4,3
25,126_1,4
26,127_2,4
27,128_3,2
28,129_2,3
29,130_3,4
30,131_3,4
31,132_3,4
32,133_4,4
33,134_2,4
34,136_2,3
35,137_1,4
36,138_2,4
37,139_1,4
38,141_2,4
39,142_1,4
40,144_3,4
41,145_1,4
42,146_2,4
43,147_2,4
44,148_4,4
45,149_1,4
46,15_2,3
47,150_4,4
48,152_2,4
49,153_1,4
50,154_2,4
51,155_3,4
52,156_2,4
53,157_4,2
54,158_3,4
55,159_3,4
56,160_4,4
57,161_2,4
58,162_1,2
59,163_1,3
60,165_2,3
61,166_2,3
62,167_2,3
63,168_2,3
64,17_1,4
65,171_2,3
66,172_1,3
67,173_1,2
68,174_2,3
69,176_2,3
70,177_1,3
71,178_4,2
72,179_2,3
73,18_1,4
74,180_2,3
75,181_2,3
76,182_2,2
77,183_2,3
78,184_3,3
79,185_2,3
80,186_2,2
81,187_2,3
82,188_2,3
83,189_1,2
84,19_2,2
85,190_2,4
86,191_3,3
87,192_2,4
88,193_2,4
89,196_3,3
90,197_2,4
91,198_4,4
92,199_2,4
93,2_1,4
94,20_2,2
95,200_2,4
96,201_2,3
97,202_3,3
98,203_4,3
99,204_3,2
100,205_2,4
101,206_3,4
102,207_2,3
103,208_3,3
104,209_4,3
105,21_2,4
106,212_3,4
107,215_2,4
108,216_2,4
109,217_1,4
110,218_1,3
111,219_2,3
112,22_2,4
113,220_2,3
114,221_3,3
115,223_4,4
116,224_4,4
117,225_2,3
118,226_4,3
119,227_2,3
120,228_4,3
121,229_1,3
122,23_2,2
123,232_4,3
124,233_2,3
125,234_4,3
126,235_3,3
127,236_3,3
128,237_1,3
129,24_2,2
130,240_2,3
131,241_3,3
132,242_3,4
133,243_1,4
134,244_3,4
135,245_3,4
136,246_1,4
137,247_3,4
138,248_3,4
139,249_4,4
140,25_3,4
141,250_3,3
142,251_1,3
143,252_2,4
144,253_4,3
145,254_1,4
146,26_3,4
147,263_3,4
148,264_1,4
149,265_1,4
150,266_1,4
151,267_2,4
152,268_3,4
153,269_3,4
154,27_2,4
155,270_4,3
156,271_2,3
157,272_4,3
158,273_2,4
159,276_2,2
160,277_2,4
161,278_3,3
162,279_2,3
163,28_2,2
164,280_4,3
165,281_2,4
166,283_3,3
167,284_4,3
168,285_3,4
169,286_1,4
170,287_2,3
171,288_1,4
172,289_2,4
173,29_3,4
174,291_1,2
175,292_1,3
176,293_1,3
177,294_4,3
178,295_1,3
179,296_3,3
180,298_3,4
181,299_3,4
182,30_2,2
183,300_4,4
184,301_2,3
185,302_4,3
186,303_2,3
187,305_2,3
188,307_1,4
189,308_1,4
190,309_2,4
191,310_2,4
192,311_1,4
193,312_2,4
194,313_1,4
195,314_1,4
196,315_1,4
197,316_1,4
198,317_1,4
199,318_1,3
200,319_1,3
201,32_1,4
202,320_1,3
203,321_1,3
204,322_1,2
205,324_1,2
206,326_2,2
207,327_2,1
208,328_2,3
209,329_2,1
210,33_4,4
211,330_2,3
212,331_2,2
213,332_2,2
214,333_3,2
215,334_4,2
216,335_1,2
217,336_3,2
218,337_2,2
219,339_2,3
220,34_2,2
221,340_2,2
222,341_2,3
223,342_2,3
224,343_2,3
225,345_3,4
226,347_1,4
227,348_1,2
228,349_1,3
229,35_1,2
230,350_1,2
231,351_1,3
232,352_1,1
233,353_1,1
234,354_1,3
235,355_1,1
236,356_1,1
237,357_2,3
238,358_2,1
239,359_2,3
240,360_2,3
241,361_2,3
242,362_2,3
243,363_2,3
244,364_4,3
245,365_3,3
246,367_3,3
247,368_3,2
248,369_2,3
249,37_2,2
250,370_3,2
251,371_3,3
252,372_3,2
253,374_3,2
254,375_1,4
255,376_1,3
256,377_1,3
257,378_2,3
258,379_1,3
259,38_2,1
260,380_2,4
261,382_3,2
262,383_4,2
263,384_1,2
264,385_3,1
265,386_1,3
266,387_2,2
267,388_4,2
268,389_1,3
269,39_2,4
270,390_2,4
271,391_2,2
272,392_3,2
273,394_1,3
274,396_1,2
275,397_4,2
276,398_3,2
277,399_3,2
278,4_1,4
279,40_2,2
280,401_2,2
281,402_3,2
282,403_4,3
283,404_1,2
284,405_1,3
285,406_1,2
286,407_2,3
287,409_3,3
288,41_1,4
289,410_2,3
290,411_4,3
291,412_3,2
292,413_1,2
293,414_1,4
294,415_1,2
295,416_4,4
296,417_4,4
297,418_3,1
298,419_4,3
299,42_1,4
300,420_4,3
301,421_3,1
302,422_3,1
303,423_2,2
304,424_2,2
305,425_1,3
306,426_3,3
307,427_2,3
308,428_4,2
309,429_3,1
310,43_1,4
311,430_3,2
312,431_3,4
313,432_3,4
314,433_2,4
315,434_2,1
316,435_2,2
317,436_2,4
318,437_4,4
319,438_2,4
320,440_2,1
321,441_2,1
322,442_2,4
323,443_2,4
324,445_2,2
325,446_3,1
326,447_1,1
327,448_3,1
328,449_3,1
329,45_3,4
330,450_3,1
331,451_4,1
332,452_1,1
333,453_2,3
334,454_3,1
335,456_3,4
336,457_3,2
337,458_3,4
338,459_4,4
339,46_4,2
340,461_3,4
341,462_3,3
342,463_3,1
343,464_3,2
344,465_2,3
345,466_1,1
346,467_3,2
347,468_1,2
348,47_4,3
349,470_2,2
350,471_2,2
351,473_4,4
352,474_3,3
353,475_3,3
354,476_3,3
355,477_4,4
356,478_3,4
357,479_2,1
358,48_2,3
359,480_1,3
360,482_3,4
361,483_3,1
362,484_4,4
363,485_2,3
364,486_2,2
365,487_2,3
366,488_2,2
367,489_3,4
368,49_2,4
369,490_1,4
370,491_1,4
371,492_3,4
372,494_2,2
373,495_1,4
374,496_3,1
375,497_4,4
376,499_1,4
377,50_2,4
378,500_3,2
379,501_1,2
380,502_2,2
381,503_1,3
382,504_2,4
383,505_2,4
384,506_1,1
385,507_2,2
386,508_2,4
387,509_4,4
388,51_2,3
389,510_2,2
390,511_3,4
391,512_2,2
392,514_3,1
393,515_4,1
394,516_4,1
395,517_1,3
396,518_1,4
397,519_3,4
398,520_3,2
399,521_4,2
400,522_2,2
401,523_4,2
402,524_2,2
403,525_2,2
404,526_1,2
405,527_3,2
406,528_2,2
407,529_2,2
408,53_2,3
409,530_3,4
410,55_3,4
411,56_2,4
412,57_2,4
413,58_2,4
414,59_3,4
415,6_1,4
416,60_4,4
417,62_2,4
418,63_2,4
419,65_2,4
420,66_3,4
421,67_3,4
422,68_2,4
423,7_3,2
424,70_3,4
425,71_2,4
426,72_2,3
427,73_4,4
428,75_2,2
429,76_3,4
430,77_2,2
431,78_3,4
432,79_3,4
433,8_2,3
434,80_2,4
435,81_1,4
436,82_2,4
437,84_2,4
438,85_2,4
439,86_2,3
440,87_2,3
441,89_1,4
442,9_1,4
443,90_2,4
444,91_2,3
445,92_3,4
446,93_2,4
447,94_4,4
448,95_4,4
449,96_3,3
450,97_2,3
451,98_3,4
452,99_1,4
