,sample,clusters
0,100_2,0
1,101_3,0
2,102_2,3
3,103_3,3
4,104_2,0
5,105_2,0
6,106_4,3
7,107_4,3
8,109_1,3
9,11_4,3
10,110_3,1
11,111_2,3
12,112_2,3
13,113_2,1
14,114_3,0
15,115_1,1
16,116_4,3
17,117_1,3
18,119_1,3
19,120_1,3
20,121_3,3
21,122_2,0
22,123_3,3
23,124_4,3
24,125_4,3
25,126_1,1
26,127_2,3
27,128_3,1
28,129_2,0
29,130_3,3
30,131_3,3
31,132_3,3
32,133_4,0
33,134_2,3
34,136_2,0
35,137_1,3
36,138_2,3
37,139_1,3
38,141_2,3
39,142_1,3
40,144_3,3
41,145_1,3
42,146_2,1
43,147_2,3
44,148_4,3
45,149_1,1
46,15_2,3
47,150_4,3
48,152_2,3
49,153_1,3
50,154_2,3
51,155_3,3
52,156_2,3
53,157_4,0
54,158_3,1
55,159_3,3
56,160_4,1
57,161_2,3
58,162_1,1
59,163_1,0
60,165_2,3
61,166_2,0
62,167_2,0
63,168_2,0
64,17_1,3
65,171_2,3
66,172_1,0
67,173_1,0
68,174_2,0
69,176_2,0
70,177_1,0
71,178_4,0
72,179_2,0
73,18_1,3
74,180_2,0
75,181_2,3
76,182_2,0
77,183_2,0
78,184_3,0
79,185_2,3
80,186_2,0
81,187_2,0
82,188_2,3
83,189_1,0
84,19_2,0
85,190_2,3
86,191_3,3
87,192_2,3
88,193_2,3
89,196_3,3
90,197_2,1
91,198_4,3
92,199_2,3
93,2_1,3
94,20_2,0
95,200_2,3
96,201_2,0
97,202_3,3
98,203_4,3
99,204_3,1
100,205_2,3
101,206_3,3
102,207_2,3
103,208_3,0
104,209_4,3
105,21_2,3
106,212_3,1
107,215_2,3
108,216_2,3
109,217_1,3
110,218_1,3
111,219_2,3
112,22_2,3
113,220_2,0
114,221_3,3
115,223_4,3
116,224_4,3
117,225_2,3
118,226_4,3
119,227_2,3
120,228_4,3
121,229_1,3
122,23_2,1
123,232_4,0
124,233_2,3
125,234_4,3
126,235_3,3
127,236_3,3
128,237_1,3
129,24_2,1
130,240_2,3
131,241_3,3
132,242_3,3
133,243_1,3
134,244_3,3
135,245_3,3
136,246_1,3
137,247_3,3
138,248_3,1
139,249_4,3
140,25_3,3
141,250_3,3
142,251_1,0
143,252_2,3
144,253_4,3
145,254_1,3
146,26_3,3
147,263_3,3
148,264_1,3
149,265_1,3
150,266_1,3
151,267_2,3
152,268_3,3
153,269_3,3
154,27_2,1
155,270_4,3
156,271_2,3
157,272_4,3
158,273_2,3
159,276_2,0
160,277_2,3
161,278_3,3
162,279_2,3
163,28_2,0
164,280_4,3
165,281_2,3
166,283_3,3
167,284_4,3
168,285_3,3
169,286_1,3
170,287_2,3
171,288_1,3
172,289_2,3
173,29_3,3
174,291_1,0
175,292_1,3
176,293_1,0
177,294_4,0
178,295_1,3
179,296_3,3
180,298_3,1
181,299_3,3
182,30_2,0
183,300_4,3
184,301_2,3
185,302_4,3
186,303_2,3
187,305_2,3
188,307_1,1
189,308_1,3
190,309_2,3
191,310_2,3
192,311_1,3
193,312_2,1
194,313_1,3
195,314_1,1
196,315_1,3
197,316_1,3
198,317_1,3
199,318_1,0
200,319_1,0
201,32_1,3
202,320_1,0
203,321_1,0
204,322_1,0
205,324_1,1
206,326_2,1
207,327_2,2
208,328_2,0
209,329_2,2
210,33_4,1
211,330_2,0
212,331_2,1
213,332_2,0
214,333_3,0
215,334_4,0
216,335_1,0
217,336_3,0
218,337_2,0
219,339_2,3
220,34_2,1
221,340_2,1
222,341_2,3
223,342_2,0
224,343_2,0
225,345_3,3
226,347_1,3
227,348_1,2
228,349_1,0
229,35_1,1
230,350_1,0
231,351_1,0
232,352_1,2
233,353_1,0
234,354_1,0
235,355_1,2
236,356_1,2
237,357_2,0
238,358_2,0
239,359_2,0
240,360_2,0
241,361_2,0
242,362_2,0
243,363_2,0
244,364_4,0
245,365_3,0
246,367_3,0
247,368_3,0
248,369_2,0
249,37_2,0
250,370_3,0
251,371_3,0
252,372_3,0
253,374_3,0
254,375_1,0
255,376_1,0
256,377_1,0
257,378_2,0
258,379_1,0
259,38_2,2
260,380_2,3
261,382_3,0
262,383_4,1
263,384_1,0
264,385_3,2
265,386_1,0
266,387_2,0
267,388_4,0
268,389_1,0
269,39_2,3
270,390_2,3
271,391_2,1
272,392_3,1
273,394_1,0
274,396_1,1
275,397_4,1
276,398_3,1
277,399_3,1
278,4_1,3
279,40_2,1
280,401_2,1
281,402_3,1
282,403_4,0
283,404_1,0
284,405_1,0
285,406_1,0
286,407_2,0
287,409_3,0
288,41_1,3
289,410_2,0
290,411_4,3
291,412_3,1
292,413_1,1
293,414_1,1
294,415_1,1
295,416_4,3
296,417_4,3
297,418_3,2
298,419_4,0
299,42_1,3
300,420_4,0
301,421_3,2
302,422_3,2
303,423_2,0
304,424_2,0
305,425_1,3
306,426_3,0
307,427_2,0
308,428_4,1
309,429_3,1
310,43_1,3
311,430_3,1
312,431_3,1
313,432_3,3
314,433_2,3
315,434_2,2
316,435_2,0
317,436_2,1
318,437_4,1
319,438_2,1
320,440_2,2
321,441_2,2
322,442_2,3
323,443_2,3
324,445_2,0
325,446_3,2
326,447_1,2
327,448_3,2
328,449_3,2
329,45_3,1
330,450_3,2
331,451_4,2
332,452_1,2
333,453_2,3
334,454_3,2
335,456_3,3
336,457_3,1
337,458_3,3
338,459_4,3
339,46_4,0
340,461_3,1
341,462_3,3
342,463_3,2
343,464_3,2
344,465_2,0
345,466_1,2
346,467_3,1
347,468_1,1
348,47_4,3
349,470_2,0
350,471_2,0
351,473_4,3
352,474_3,3
353,475_3,3
354,476_3,0
355,477_4,3
356,478_3,3
357,479_2,2
358,48_2,3
359,480_1,3
360,482_3,3
361,483_3,2
362,484_4,3
363,485_2,3
364,486_2,0
365,487_2,0
366,488_2,0
367,489_3,1
368,49_2,3
369,490_1,1
370,491_1,3
371,492_3,3
372,494_2,0
373,495_1,3
374,496_3,2
375,497_4,3
376,499_1,1
377,50_2,3
378,500_3,1
379,501_1,1
380,502_2,1
381,503_1,0
382,504_2,1
383,505_2,3
384,506_1,2
385,507_2,1
386,508_2,3
387,509_4,3
388,51_2,3
389,510_2,1
390,511_3,3
391,512_2,1
392,514_3,2
393,515_4,2
394,516_4,2
395,517_1,3
396,518_1,1
397,519_3,1
398,520_3,1
399,521_4,1
400,522_2,0
401,523_4,0
402,524_2,1
403,525_2,1
404,526_1,1
405,527_3,1
406,528_2,1
407,529_2,1
408,53_2,3
409,530_3,3
410,55_3,3
411,56_2,3
412,57_2,3
413,58_2,3
414,59_3,3
415,6_1,3
416,60_4,3
417,62_2,3
418,63_2,3
419,65_2,1
420,66_3,3
421,67_3,3
422,68_2,3
423,7_3,0
424,70_3,3
425,71_2,3
426,72_2,0
427,73_4,3
428,75_2,0
429,76_3,3
430,77_2,0
431,78_3,3
432,79_3,3
433,8_2,0
434,80_2,3
435,81_1,3
436,82_2,3
437,84_2,3
438,85_2,1
439,86_2,3
440,87_2,3
441,89_1,3
442,9_1,3
443,90_2,3
444,91_2,3
445,92_3,3
446,93_2,3
447,94_4,3
448,95_4,3
449,96_3,3
450,97_2,0
451,98_3,3
452,99_1,3
