,sample,clusters
0,100_2,1
1,101_3,2
2,102_2,1
3,103_3,2
4,104_2,1
5,105_2,1
6,106_4,3
7,107_4,3
8,109_1,0
9,11_4,3
10,110_3,2
11,111_2,1
12,112_2,1
13,113_2,1
14,114_3,2
15,115_1,0
16,116_4,3
17,117_1,0
18,119_1,0
19,120_1,0
20,121_3,2
21,122_2,1
22,123_3,2
23,124_4,3
24,125_4,3
25,126_1,0
26,127_2,1
27,128_3,2
28,129_2,1
29,130_3,2
30,131_3,2
31,132_3,2
32,133_4,3
33,134_2,1
34,136_2,1
35,137_1,0
36,138_2,1
37,139_1,0
38,141_2,1
39,142_1,0
40,144_3,2
41,145_1,0
42,146_2,1
43,147_2,1
44,148_4,3
45,149_1,0
46,15_2,1
47,150_4,3
48,152_2,1
49,153_1,0
50,154_2,1
51,155_3,2
52,156_2,1
53,157_4,3
54,158_3,2
55,159_3,2
56,160_4,3
57,161_2,1
58,162_1,0
59,163_1,0
60,165_2,1
61,166_2,1
62,167_2,1
63,168_2,1
64,17_1,0
65,171_2,1
66,172_1,0
67,173_1,0
68,174_2,1
69,176_2,1
70,177_1,0
71,178_4,3
72,179_2,1
73,18_1,0
74,180_2,1
75,181_2,1
76,182_2,1
77,183_2,1
78,184_3,2
79,185_2,1
80,186_2,1
81,187_2,1
82,188_2,1
83,189_1,0
84,19_2,1
85,190_2,1
86,191_3,2
87,192_2,1
88,193_2,1
89,196_3,2
90,197_2,1
91,198_4,3
92,199_2,1
93,2_1,0
94,20_2,1
95,200_2,1
96,201_2,1
97,202_3,2
98,203_4,3
99,204_3,2
100,205_2,1
101,206_3,2
102,207_2,1
103,208_3,2
104,209_4,3
105,21_2,1
106,212_3,2
107,215_2,1
108,216_2,1
109,217_1,0
110,218_1,0
111,219_2,1
112,22_2,1
113,220_2,1
114,221_3,2
115,223_4,3
116,224_4,3
117,225_2,1
118,226_4,3
119,227_2,1
120,228_4,3
121,229_1,0
122,23_2,1
123,232_4,3
124,233_2,1
125,234_4,3
126,235_3,2
127,236_3,2
128,237_1,0
129,24_2,1
130,240_2,1
131,241_3,2
132,242_3,2
133,243_1,0
134,244_3,2
135,245_3,2
136,246_1,0
137,247_3,2
138,248_3,2
139,249_4,3
140,25_3,2
141,250_3,2
142,251_1,0
143,252_2,1
144,253_4,3
145,254_1,0
146,26_3,2
147,263_3,2
148,264_1,0
149,265_1,0
150,266_1,0
151,267_2,1
