,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000161681""",0,2
1,"""ENSG00000283472""",1,2
2,"""ENSG00000253861""",1,2
3,"""ENSG00000148334""",0,2
4,"""ENSG00000267152""",0,2
5,"""ENSG00000250251""",0,2
6,"""ENSG00000123384""",0,2
7,"""ENSG00000184897""",0,2
8,"""ENSG00000260267""",0,2
9,"""ENSG00000154358""",0,2
10,"""ENSG00000130203""",0,2
11,"""ENSG00000075618""",0,2
12,"""ENSG00000198816""",0,2
13,"""ENSG00000099864""",0,2
14,"""ENSG00000100299""",0,2
15,"""ENSG00000142798""",0,2
16,"""ENSG00000127588""",0,2
17,"""ENSG00000130758""",0,2
18,"""ENSG00000178209""",0,2
19,"""ENSG00000184640""",0,2
20,"""ENSG00000080603""",0,2
21,"""ENSG00000203485""",0,2
22,"""ENSG00000118046""",0,2
23,"""ENSG00000215906""",0,2
24,"""ENSG00000107331""",0,2
25,"""ENSG00000274070""",0,2
26,"""ENSG00000138834""",0,2
27,"""ENSG00000123143""",0,2
28,"""ENSG00000234857""",1,2
29,"""ENSG00000142459""",0,2
30,"""ENSG00000055118""",0,2
31,"""ENSG00000105063""",0,2
32,"""ENSG00000182095""",0,2
33,"""ENSG00000185800""",0,2
34,"""ENSG00000161682""",0,2
35,"""ENSG00000079805""",0,2
36,"""ENSG00000126461""",0,2
37,"""ENSG00000196576""",0,2
38,"""ENSG00000089351""",0,2
39,"""ENSG00000171680""",0,2
40,"""ENSG00000162337""",0,2
41,"""ENSG00000169710""",0,2
42,"""ENSG00000170667""",0,2
43,"""ENSG00000133250""",0,2
44,"""ENSG00000179277""",0,2
45,"""ENSG00000141959""",0,2
46,"""ENSG00000106665""",0,2
47,"""ENSG00000235288""",1,2
48,"""ENSG00000114853""",0,2
49,"""ENSG00000159788""",0,2
50,"""ENSG00000132024""",0,2
51,"""ENSG00000127580""",0,2
52,"""ENSG00000182871""",0,2
53,"""ENSG00000136274""",0,2
54,"""ENSG00000204469""",0,2
55,"""ENSG00000100139""",0,2
56,"""ENSG00000176978""",0,2
57,"""ENSG00000008441""",0,2
58,"""ENSG00000161642""",0,2
59,"""ENSG00000126243""",1,2
60,"""ENSG00000116786""",0,2
61,"""ENSG00000133243""",0,2
62,"""ENSG00000196557""",0,2
63,"""ENSG00000130382""",0,2
64,"""ENSG00000113763""",0,2
65,"""ENSG00000130669""",0,2
66,"""ENSG00000100241""",0,2
67,"""ENSG00000126934""",0,2
68,"""ENSG00000143126""",0,2
69,"""ENSG00000174996""",0,2
70,"""ENSG00000174672""",0,2
71,"""ENSG00000174903""",0,2
72,"""ENSG00000079432""",0,2
73,"""ENSG00000072310""",0,2
74,"""ENSG00000110046""",0,2
75,"""ENSG00000141985""",0,2
76,"""ENSG00000166484""",0,2
77,"""ENSG00000157637""",0,2
78,"""ENSG00000117984""",0,2
79,"""ENSG00000198853""",0,2
80,"""ENSG00000159363""",0,2
81,"""ENSG00000108509""",0,2
82,"""ENSG00000130479""",0,2
83,"""ENSG00000128159""",0,2
84,"""ENSG00000177303""",0,2
85,"""ENSG00000269955""",1,2
86,"""ENSG00000142235""",0,2
87,"""ENSG00000234857""",0,2
88,"""ENSG00000177380""",0,2
89,"""ENSG00000091073""",0,2
90,"""ENSG00000103126""",0,2
91,"""ENSG00000162430""",0,2
92,"""ENSG00000104964""",0,2
93,"""ENSG00000011028""",0,2
94,"""ENSG00000196642""",0,2
95,"""ENSG00000142156""",0,2
96,"""ENSG00000108557""",0,2
97,"""ENSG00000101210""",0,2
98,"""ENSG00000099822""",0,2
99,"""ENSG00000074964""",0,2
100,"""ENSG00000224051""",0,2
101,"""ENSG00000167674""",0,2
102,"""ENSG00000006283""",0,2
103,"""ENSG00000130294""",0,2
104,"""ENSG00000105516""",0,2
105,"""ENSG00000181790""",0,2
106,"""ENSG00000196498""",0,2
107,"""ENSG00000107736""",0,2
108,"""ENSG00000074181""",0,2
109,"""ENSG00000100403""",0,2
110,"""ENSG00000064932""",0,2
111,"""ENSG00000158106""",0,2
112,"""ENSG00000061938""",0,2
113,"""ENSG00000175221""",0,2
114,"""ENSG00000105698""",0,2
115,"""ENSG00000183248""",0,2
116,"""ENSG00000184985""",0,2
117,"""ENSG00000215612""",0,2
118,"""ENSG00000099904""",0,2
119,"""ENSG00000142173""",0,2
120,"""ENSG00000070047""",0,2
121,"""ENSG00000108262""",0,2
122,"""ENSG00000167971""",0,2
123,"""ENSG00000186111""",0,2
124,"""ENSG00000105701""",0,2
125,"""ENSG00000177548""",0,2
126,"""ENSG00000173581""",0,2
127,"""ENSG00000127399""",0,2
128,"""ENSG00000184545""",0,2
129,"""ENSG00000269955""",0,2
130,"""ENSG00000187017""",0,2
131,"""ENSG00000141522""",0,2
132,"""ENSG00000129925""",0,2
133,"""ENSG00000120896""",0,2
134,"""ENSG00000169783""",0,2
135,"""ENSG00000178685""",0,2
136,"""ENSG00000060491""",0,2
137,"""ENSG00000126603""",0,2
138,"""ENSG00000127948""",0,2
139,"""ENSG00000008710""",0,2
140,"""ENSG00000162129""",1,2
141,"""ENSG00000004777""",0,2
