Genes,Cluster
100_2,0
101_3,1
102_2,3
103_3,2
104_2,0
105_2,0
106_4,3
107_4,2
109_1,2
11_4,2
110_3,2
111_2,0
112_2,3
113_2,2
114_3,0
115_1,1
116_4,3
117_1,2
119_1,3
120_1,3
121_3,3
122_2,0
123_3,2
124_4,3
125_4,2
126_1,2
127_2,2
128_3,2
129_2,0
130_3,2
131_3,3
132_3,2
133_4,0
134_2,3
136_2,0
137_1,2
138_2,3
139_1,2
141_2,2
142_1,2
144_3,2
145_1,2
146_2,2
147_2,3
148_4,2
149_1,2
15_2,0
150_4,2
152_2,3
153_1,2
154_2,3
155_3,2
156_2,3
157_4,0
158_3,2
159_3,2
160_4,2
161_2,3
162_1,2
163_1,0
165_2,0
166_2,0
167_2,0
168_2,0
17_1,3
171_2,0
172_1,0
173_1,1
174_2,0
176_2,0
177_1,0
178_4,0
179_2,0
18_1,3
180_2,0
181_2,2
182_2,0
183_2,0
184_3,0
185_2,0
186_2,0
187_2,0
188_2,0
189_1,1
19_2,0
190_2,0
191_3,0
192_2,2
193_2,3
196_3,0
197_2,2
198_4,2
199_2,2
2_1,3
20_2,0
200_2,0
201_2,0
202_3,3
203_4,0
204_3,1
205_2,0
206_3,3
207_2,2
208_3,0
209_4,0
21_2,3
212_3,2
215_2,2
216_2,3
217_1,3
218_1,0
219_2,0
22_2,3
220_2,0
221_3,0
223_4,3
224_4,3
225_2,0
226_4,0
227_2,0
228_4,0
229_1,0
23_2,1
232_4,0
233_2,3
234_4,3
235_3,0
236_3,0
237_1,3
24_2,2
240_2,0
241_3,0
242_3,3
243_1,3
244_3,3
245_3,3
246_1,3
247_3,3
248_3,2
249_4,2
25_3,3
250_3,0
251_1,0
252_2,3
253_4,0
254_1,2
26_3,3
263_3,3
264_1,0
265_1,3
266_1,3
267_2,2
268_3,3
269_3,3
27_2,2
270_4,0
271_2,0
272_4,0
273_2,2
276_2,0
277_2,2
278_3,0
279_2,0
28_2,0
280_4,2
281_2,2
283_3,2
284_4,0
285_3,3
286_1,3
287_2,3
288_1,3
289_2,3
29_3,3
291_1,1
292_1,0
293_1,0
294_4,0
295_1,0
296_3,0
298_3,2
299_3,2
30_2,1
300_4,3
301_2,0
302_4,0
303_2,3
305_2,3
307_1,2
308_1,2
309_2,3
310_2,2
311_1,2
312_2,2
313_1,2
314_1,2
315_1,2
316_1,0
317_1,0
318_1,0
319_1,0
32_1,3
320_1,0
321_1,0
322_1,1
324_1,1
326_2,1
327_2,1
328_2,0
329_2,1
33_4,2
330_2,0
331_2,2
332_2,0
333_3,1
334_4,1
335_1,1
336_3,0
337_2,1
339_2,3
34_2,2
340_2,0
341_2,0
342_2,0
343_2,0
345_3,3
347_1,3
348_1,1
349_1,0
35_1,1
350_1,1
351_1,0
352_1,1
353_1,1
354_1,0
355_1,1
356_1,1
357_2,0
358_2,0
359_2,0
360_2,0
361_2,0
362_2,0
363_2,0
364_4,0
365_3,0
367_3,0
368_3,0
369_2,0
37_2,0
370_3,0
371_3,0
372_3,0
374_3,1
375_1,0
376_1,0
377_1,0
378_2,0
379_1,0
38_2,1
380_2,3
382_3,0
383_4,1
384_1,0
385_3,1
386_1,0
387_2,0
388_4,1
389_1,0
39_2,3
390_2,2
391_2,0
392_3,0
394_1,0
396_1,1
397_4,2
398_3,1
399_3,1
4_1,3
40_2,0
401_2,2
402_3,2
403_4,0
404_1,0
405_1,0
406_1,1
407_2,0
409_3,0
41_1,3
410_2,0
411_4,0
412_3,2
413_1,2
414_1,2
415_1,2
416_4,2
417_4,2
418_3,1
419_4,0
42_1,2
420_4,0
421_3,1
422_3,1
423_2,1
424_2,0
425_1,0
426_3,0
427_2,0
428_4,2
429_3,1
43_1,2
430_3,2
431_3,2
432_3,2
433_2,2
434_2,1
435_2,1
436_2,2
437_4,2
438_2,2
440_2,1
441_2,1
442_2,2
443_2,2
445_2,0
446_3,1
447_1,1
448_3,1
449_3,1
45_3,2
450_3,1
451_4,1
452_1,1
453_2,0
454_3,1
456_3,2
457_3,2
458_3,2
459_4,2
46_4,0
461_3,2
462_3,0
463_3,1
464_3,1
465_2,0
466_1,1
467_3,2
468_1,1
47_4,0
470_2,0
471_2,1
473_4,2
474_3,0
475_3,0
476_3,0
477_4,2
478_3,3
479_2,1
48_2,0
480_1,0
482_3,3
483_3,1
484_4,2
485_2,0
486_2,0
487_2,0
488_2,0
489_3,2
49_2,3
490_1,2
491_1,2
492_3,2
494_2,1
495_1,2
496_3,1
497_4,0
499_1,2
50_2,2
500_3,2
501_1,2
502_2,2
503_1,0
504_2,2
505_2,2
506_1,1
507_2,1
508_2,2
509_4,2
51_2,0
510_2,2
511_3,2
512_2,0
514_3,1
515_4,1
516_4,1
517_1,0
518_1,2
519_3,2
520_3,1
521_4,1
522_2,1
523_4,0
524_2,2
525_2,2
526_1,1
527_3,1
528_2,2
529_2,2
53_2,3
530_3,0
55_3,0
56_2,3
57_2,2
58_2,3
59_3,3
6_1,3
60_4,2
62_2,3
63_2,2
65_2,2
66_3,2
67_3,3
68_2,3
7_3,0
70_3,2
71_2,3
72_2,0
73_4,2
75_2,0
76_3,2
77_2,0
78_3,2
79_3,3
8_2,0
80_2,3
81_1,2
82_2,0
84_2,2
85_2,2
86_2,2
87_2,2
89_1,2
9_1,3
90_2,2
91_2,3
92_3,2
93_2,3
94_4,2
95_4,3
96_3,2
97_2,0
98_3,0
99_1,3
