,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000215695""",0,2
1,"""ENSG00000242588""",0,2
2,"""ENSG00000197892""",0,2
3,"""ENSG00000172817""",1,2
4,"""ENSG00000188211""",1,2
5,"""ENSG00000188211""",0,2
6,"""ENSG00000244062""",0,1
7,"""ENSG00000122512""",0,2
8,"""ENSG00000141337""",0,2
9,"""ENSG00000188827""",0,2
10,"""ENSG00000151687""",1,2
11,"""ENSG00000075429""",0,2
12,"""ENSG00000174501""",1,2
13,"""ENSG00000283472""",0,2
14,"""ENSG00000215154""",0,2
15,"""ENSG00000213906""",0,2
16,"""ENSG00000068654""",0,2
17,"""ENSG00000269921""",0,2
18,"""ENSG00000189136""",0,2
19,"""ENSG00000178502""",0,2
20,"""ENSG00000197603""",1,2
21,"""ENSG00000127564""",0,2
22,"""ENSG00000198155""",1,2
23,"""ENSG00000144504""",0,2
24,"""ENSG00000278864""",0,2
25,"""ENSG00000281453""",0,2
26,"""ENSG00000173295""",0,2
27,"""ENSG00000283088""",0,2
28,"""ENSG00000174989""",0,2
29,"""ENSG00000130119""",0,2
30,"""ENSG00000253861""",0,2
31,"""ENSG00000189144""",0,2
32,"""ENSG00000150873""",0,2
33,"""ENSG00000150455""",0,2
34,"""ENSG00000166377""",0,2
35,"""ENSG00000214176""",0,2
36,"""ENSG00000280234""",0,2
37,"""ENSG00000102743""",0,2
38,"""ENSG00000282508""",0,2
39,"""ENSG00000226688""",1,2
40,"""ENSG00000196605""",1,2
41,"""ENSG00000262576""",0,2
42,"""ENSG00000263843""",0,2
43,"""ENSG00000230487""",0,2
44,"""ENSG00000259726""",0,2
45,"""ENSG00000162241""",0,2
46,"""ENSG00000264324""",0,2
47,"""ENSG00000141837""",0,2
48,"""ENSG00000172115""",0,1
49,"""ENSG00000065457""",0,2
50,"""ENSG00000260772""",0,2
51,"""ENSG00000189144""",1,2
52,"""ENSG00000261423""",1,2
53,"""ENSG00000232300""",0,2
54,"""ENSG00000226688""",0,2
55,"""ENSG00000257800""",0,2
56,"""ENSG00000237094""",0,2
57,"""ENSG00000260404""",0,2
58,"""ENSG00000144362""",1,2
59,"""ENSG00000254221""",0,2
60,"""ENSG00000176148""",0,2
61,"""ENSG00000259295""",1,2
62,"""ENSG00000116254""",0,2
63,"""ENSG00000232593""",0,2
64,"""ENSG00000168495""",0,2
65,"""ENSG00000139915""",1,2
66,"""ENSG00000204524""",0,2
67,"""ENSG00000259295""",0,2
68,"""ENSG00000163507""",1,2
69,"""ENSG00000277072""",0,2
70,"""ENSG00000174353""",0,2
71,"""ENSG00000279398""",0,1
72,"""ENSG00000231154""",1,2
73,"""ENSG00000215912""",0,2
74,"""ENSG00000235316""",0,2
75,"""ENSG00000065526""",0,2
76,"""ENSG00000168066""",0,2
77,"""ENSG00000277687""",1,2
78,"""ENSG00000238286""",0,2
79,"""ENSG00000142197""",0,2
80,"""ENSG00000169180""",0,2
81,"""ENSG00000278156""",1,2
82,"""ENSG00000115896""",1,2
83,"""ENSG00000187801""",0,2
84,"""ENSG00000163945""",0,2
85,"""ENSG00000241489""",0,2
86,"""ENSG00000197536""",0,2
87,"""ENSG00000268858""",0,2
88,"""ENSG00000063245""",0,2
89,"""ENSG00000256628""",0,2
90,"""ENSG00000083812""",0,2
91,"""ENSG00000167522""",0,2
92,"""ENSG00000243302""",0,2
93,"""ENSG00000225465""",0,2
94,"""ENSG00000259462""",1,2
95,"""ENSG00000233237""",1,2
96,"""ENSG00000204764""",1,2
97,"""ENSG00000260464""",1,2
98,"""ENSG00000115423""",1,2
99,"""ENSG00000164796""",1,2
100,"""ENSG00000276417""",1,2
101,"""ENSG00000145700""",1,2
102,"""ENSG00000234773""",0,2
103,"""ENSG00000269955""",0,2
104,"""ENSG00000116031""",0,2
105,"""ENSG00000279608""",0,2
106,"""ENSG00000167670""",0,2
107,"""ENSG00000263244""",0,2
108,"""ENSG00000232160""",1,2
109,"""ENSG00000181722""",1,2
110,"""ENSG00000005108""",1,2
111,"""ENSG00000121988""",1,2
112,"""ENSG00000283213""",1,2
113,"""ENSG00000241975""",1,2
114,"""ENSG00000160613""",0,2
115,"""ENSG00000215386""",1,2
116,"""ENSG00000063322""",0,2
117,"""ENSG00000073536""",0,2
118,"""ENSG00000265479""",0,2
119,"""ENSG00000163257""",1,2
120,"""ENSG00000170396""",1,2
121,"""ENSG00000254122""",0,2
122,"""ENSG00000171084""",0,2
123,"""ENSG00000171865""",0,2
124,"""ENSG00000008056""",0,2
125,"""ENSG00000137486""",0,2
126,"""ENSG00000272578""",0,2
127,"""ENSG00000116652""",1,2
128,"""ENSG00000187650""",0,2
129,"""ENSG00000186638""",0,2
130,"""ENSG00000169629""",0,2
131,"""ENSG00000164082""",0,2
132,"""ENSG00000189136""",1,2
133,"""ENSG00000269921""",1,2
134,"""ENSG00000269069""",0,2
135,"""ENSG00000185163""",0,2
136,"""ENSG00000106785""",0,2
137,"""ENSG00000163596""",1,2
138,"""ENSG00000164675""",1,2
139,"""ENSG00000182141""",1,2
140,"""ENSG00000117242""",0,2
141,"""ENSG00000206432""",1,2
142,"""ENSG00000233862""",1,2
143,"""ENSG00000176108""",0,2
144,"""ENSG00000178631""",0,2
145,"""ENSG00000019485""",0,2
146,"""ENSG00000144119""",0,2
147,"""ENSG00000272556""",0,2
148,"""ENSG00000186481""",1,2
149,"""ENSG00000155052""",1,2
150,"""ENSG00000145882""",0,2
151,"""ENSG00000259488""",0,2
152,"""ENSG00000213903""",0,2
153,"""ENSG00000165271""",0,2
154,"""ENSG00000253305""",0,2
155,"""ENSG00000213693""",0,2
156,"""ENSG00000135976""",1,2
157,"""ENSG00000267370""",1,2
158,"""ENSG00000233178""",1,2
159,"""ENSG00000133460""",0,2
160,"""ENSG00000215447""",0,2
161,"""ENSG00000143368""",0,2
162,"""ENSG00000159905""",0,2
163,"""ENSG00000149476""",0,2
164,"""ENSG00000159259""",0,2
165,"""ENSG00000278991""",1,2
166,"""ENSG00000269176""",0,2
167,"""ENSG00000237296""",1,2
168,"""ENSG00000230454""",0,2
169,"""ENSG00000215193""",0,2
170,"""ENSG00000119737""",0,2
171,"""ENSG00000087008""",0,2
172,"""ENSG00000196605""",0,2
173,"""ENSG00000144227""",0,2
174,"""ENSG00000102870""",0,2
175,"""ENSG00000126259""",0,2
176,"""ENSG00000257800""",1,2
177,"""ENSG00000261423""",0,2
178,"""ENSG00000185090""",0,2
179,"""ENSG00000106804""",1,2
180,"""ENSG00000280063""",0,2
181,"""ENSG00000108370""",0,2
182,"""ENSG00000144426""",1,2
183,"""ENSG00000214336""",0,2
184,"""ENSG00000267632""",0,2
185,"""ENSG00000166801""",1,2
186,"""ENSG00000162951""",0,2
187,"""ENSG00000260992""",0,2
188,"""ENSG00000182348""",1,2
189,"""ENSG00000269699""",0,2
190,"""ENSG00000147799""",0,2
191,"""ENSG00000135763""",0,2
192,"""ENSG00000271880""",0,2
193,"""ENSG00000115355""",1,2
194,"""ENSG00000142207""",0,2
195,"""ENSG00000281453""",0,1
196,"""ENSG00000180747""",1,2
197,"""ENSG00000105447""",0,2
198,"""ENSG00000268521""",1,2
199,"""ENSG00000065413""",1,2
200,"""ENSG00000132382""",0,2
201,"""ENSG00000136010""",1,2
202,"""ENSG00000151746""",1,2
203,"""ENSG00000120314""",0,2
204,"""ENSG00000100350""",0,2
205,"""ENSG00000043143""",0,2
206,"""ENSG00000173258""",1,2
207,"""ENSG00000270157""",1,2
208,"""ENSG00000174145""",1,2
209,"""ENSG00000241549""",1,2
210,"""ENSG00000275120""",0,2
211,"""ENSG00000176208""",1,2
212,"""ENSG00000181222""",0,2
213,"""ENSG00000123360""",0,2
214,"""ENSG00000253537""",0,2
215,"""ENSG00000166862""",0,2
216,"""ENSG00000188185""",0,2
217,"""ENSG00000242338""",0,2
218,"""ENSG00000227741""",0,2
219,"""ENSG00000253846""",0,2
220,"""ENSG00000112293""",0,2
221,"""ENSG00000089250""",0,2
222,"""ENSG00000274964""",1,2
223,"""ENSG00000280828""",0,2
224,"""ENSG00000103021""",0,2
225,"""ENSG00000118690""",1,2
226,"""ENSG00000145888""",0,2
227,"""ENSG00000198018""",0,2
228,"""ENSG00000182752""",0,2
229,"""ENSG00000278897""",1,2
230,"""ENSG00000132275""",0,2
231,"""ENSG00000264343""",1,2
232,"""ENSG00000204514""",0,2
233,"""ENSG00000058056""",1,2
234,"""ENSG00000271741""",0,2
235,"""ENSG00000224914""",0,2
236,"""ENSG00000136297""",0,2
237,"""ENSG00000267909""",0,2
238,"""ENSG00000176715""",0,2
239,"""ENSG00000145087""",1,2
240,"""ENSG00000197818""",0,2
241,"""ENSG00000156103""",1,2
242,"""ENSG00000283515""",0,2
243,"""ENSG00000080224""",1,2
244,"""ENSG00000226200""",1,2
245,"""ENSG00000067064""",0,1
246,"""ENSG00000099365""",0,2
247,"""ENSG00000271714""",1,2
248,"""ENSG00000247011""",0,2
249,"""ENSG00000244879""",1,2
250,"""ENSG00000215695""",1,2
251,"""ENSG00000137628""",1,2
252,"""ENSG00000126883""",0,2
253,"""ENSG00000164169""",1,2
254,"""ENSG00000283088""",1,2
255,"""ENSG00000166707""",0,2
256,"""ENSG00000103037""",0,2
257,"""ENSG00000283503""",1,2
258,"""ENSG00000196361""",0,2
259,"""ENSG00000196155""",0,2
260,"""ENSG00000185019""",0,2
261,"""ENSG00000272140""",0,2
262,"""ENSG00000102908""",1,2
263,"""ENSG00000028310""",0,2
264,"""ENSG00000102743""",1,2
265,"""ENSG00000198556""",0,2
266,"""ENSG00000178921""",0,2
267,"""ENSG00000176293""",0,2
268,"""ENSG00000242419""",0,2
269,"""ENSG00000265148""",0,2
270,"""ENSG00000114631""",0,2
271,"""ENSG00000156050""",0,2
272,"""ENSG00000213742""",0,2
273,"""ENSG00000102595""",1,2
274,"""ENSG00000135709""",0,2
275,"""ENSG00000162408""",0,2
276,"""ENSG00000133739""",1,2
277,"""ENSG00000198785""",1,2
278,"""ENSG00000029534""",0,2
279,"""ENSG00000259030""",1,2
280,"""ENSG00000259488""",1,2
281,"""ENSG00000269916""",0,1
282,"""ENSG00000151067""",0,2
283,"""ENSG00000109111""",0,2
284,"""ENSG00000255508""",0,2
285,"""ENSG00000249471""",0,2
286,"""ENSG00000269352""",0,2
287,"""ENSG00000269343""",0,2
288,"""ENSG00000053108""",0,2
289,"""ENSG00000259865""",0,2
290,"""ENSG00000135111""",1,2
291,"""ENSG00000247137""",0,2
292,"""ENSG00000144583""",0,2
293,"""ENSG00000163492""",1,2
294,"""ENSG00000137203""",0,2
295,"""ENSG00000262879""",0,2
296,"""ENSG00000214331""",0,2
297,"""ENSG00000174501""",0,2
298,"""ENSG00000078319""",0,2
299,"""ENSG00000121207""",1,2
300,"""ENSG00000138380""",1,2
301,"""ENSG00000152439""",0,2
302,"""ENSG00000093217""",0,2
303,"""ENSG00000174384""",0,2
304,"""ENSG00000236144""",0,2
305,"""ENSG00000150990""",0,2
306,"""ENSG00000059588""",1,2
307,"""ENSG00000083535""",1,2
308,"""ENSG00000080603""",0,2
309,"""ENSG00000148408""",0,2
310,"""ENSG00000137145""",1,2
311,"""ENSG00000276234""",0,2
312,"""ENSG00000183935""",0,2
313,"""ENSG00000234912""",0,2
314,"""ENSG00000196074""",1,2
315,"""ENSG00000185666""",0,2
316,"""ENSG00000111249""",0,2
317,"""ENSG00000179922""",0,2
318,"""ENSG00000269514""",1,2
319,"""ENSG00000221923""",1,2
320,"""ENSG00000228801""",0,2
321,"""ENSG00000010318""",0,2
322,"""ENSG00000120800""",1,2
323,"""ENSG00000283050""",0,2
324,"""ENSG00000196453""",0,2
325,"""ENSG00000078177""",1,2
326,"""ENSG00000153253""",1,2
327,"""ENSG00000267152""",0,2
328,"""ENSG00000135976""",0,2
329,"""ENSG00000268996""",0,2
330,"""ENSG00000228828""",1,2
331,"""ENSG00000151413""",1,2
332,"""ENSG00000126215""",0,2
333,"""ENSG00000140650""",0,2
334,"""ENSG00000214837""",0,2
335,"""ENSG00000164684""",1,2
336,"""ENSG00000223893""",1,2
337,"""ENSG00000173258""",0,2
338,"""ENSG00000116151""",0,2
339,"""ENSG00000166377""",1,2
