Genes,Cluster
100_2,0
101_3,2
102_2,0
103_3,3
104_2,2
105_2,0
106_4,3
107_4,3
109_1,2
11_4,3
110_3,2
111_2,0
112_2,3
113_2,2
114_3,0
115_1,2
116_4,3
117_1,3
119_1,3
120_1,3
121_3,3
122_2,0
123_3,2
124_4,3
125_4,2
126_1,2
127_2,2
128_3,2
129_2,0
130_3,3
131_3,3
132_3,3
133_4,2
134_2,3
136_2,0
137_1,3
138_2,3
139_1,3
141_2,2
142_1,2
144_3,2
145_1,3
146_2,3
147_2,3
148_4,2
149_1,2
15_2,0
150_4,2
152_2,3
153_1,2
154_2,3
155_3,3
156_2,3
157_4,2
158_3,2
159_3,2
160_4,2
161_2,3
162_1,2
163_1,0
165_2,0
166_2,0
167_2,0
168_2,0
17_1,3
171_2,0
172_1,0
173_1,0
174_2,0
176_2,0
177_1,0
178_4,0
179_2,0
18_1,2
180_2,3
181_2,0
182_2,0
183_2,0
184_3,0
185_2,0
186_2,0
187_2,2
188_2,3
189_1,0
19_2,2
190_2,2
191_3,0
192_2,2
193_2,0
196_3,3
197_2,2
198_4,2
199_2,2
2_1,3
20_2,2
200_2,0
201_2,0
202_3,0
203_4,0
204_3,2
205_2,0
206_3,3
207_2,0
208_3,2
209_4,0
21_2,3
212_3,2
215_2,2
216_2,3
217_1,3
218_1,0
219_2,0
22_2,3
220_2,0
221_3,0
223_4,0
224_4,0
225_2,0
226_4,0
227_2,0
228_4,0
229_1,0
23_2,1
232_4,0
233_2,0
234_4,0
235_3,0
236_3,0
237_1,0
24_2,3
240_2,0
241_3,0
242_3,0
243_1,0
244_3,0
245_3,0
246_1,0
247_3,3
248_3,3
249_4,2
25_3,3
250_3,2
251_1,0
252_2,0
253_4,0
254_1,2
26_3,2
263_3,0
264_1,0
265_1,2
266_1,0
267_2,0
268_3,0
269_3,0
27_2,2
270_4,0
271_2,2
272_4,0
273_2,2
276_2,0
277_2,0
278_3,0
279_2,3
28_2,2
280_4,0
281_2,3
283_3,3
284_4,0
285_3,0
286_1,0
287_2,0
288_1,2
289_2,3
29_3,3
291_1,2
292_1,0
293_1,0
294_4,0
295_1,0
296_3,0
298_3,2
299_3,0
30_2,1
300_4,2
301_2,0
302_4,0
303_2,0
305_2,0
307_1,3
308_1,3
309_2,3
310_2,2
311_1,2
312_2,2
313_1,2
314_1,2
315_1,2
316_1,3
317_1,0
318_1,2
319_1,0
32_1,3
320_1,0
321_1,0
322_1,1
324_1,2
326_2,1
327_2,1
328_2,0
329_2,0
33_4,2
330_2,0
331_2,0
332_2,2
333_3,0
334_4,0
335_1,0
336_3,0
337_2,0
339_2,0
34_2,2
340_2,2
341_2,0
342_2,0
343_2,0
345_3,0
347_1,0
348_1,1
349_1,0
35_1,2
350_1,1
351_1,1
352_1,1
353_1,1
354_1,0
355_1,1
356_1,1
357_2,1
358_2,1
359_2,0
360_2,1
361_2,0
362_2,0
363_2,0
364_4,0
365_3,0
367_3,0
368_3,1
369_2,0
37_2,0
370_3,2
371_3,0
372_3,0
374_3,1
375_1,0
376_1,0
377_1,0
378_2,0
379_1,0
38_2,1
380_2,3
382_3,2
383_4,0
384_1,0
385_3,2
386_1,0
387_2,0
388_4,0
389_1,0
39_2,2
390_2,0
391_2,2
392_3,2
394_1,0
396_1,2
397_4,2
398_3,2
399_3,2
4_1,3
40_2,2
401_2,2
402_3,2
403_4,0
404_1,0
405_1,0
406_1,0
407_2,0
409_3,0
41_1,3
410_2,0
411_4,0
412_3,2
413_1,2
414_1,2
415_1,2
416_4,2
417_4,0
418_3,1
419_4,0
42_1,3
420_4,0
421_3,1
422_3,1
423_2,0
424_2,2
425_1,0
426_3,0
427_2,0
428_4,2
429_3,1
43_1,3
430_3,2
431_3,2
432_3,2
433_2,2
434_2,1
435_2,1
436_2,2
437_4,2
438_2,2
440_2,1
441_2,1
442_2,2
443_2,2
445_2,0
446_3,1
447_1,1
448_3,1
449_3,1
45_3,2
450_3,1
451_4,1
452_1,1
453_2,0
454_3,1
456_3,2
457_3,2
458_3,2
459_4,3
46_4,2
461_3,2
462_3,0
463_3,1
464_3,1
465_2,0
466_1,1
467_3,2
468_1,2
47_4,2
470_2,0
471_2,0
473_4,3
474_3,0
475_3,0
476_3,2
477_4,0
478_3,0
479_2,1
48_2,0
480_1,0
482_3,3
483_3,1
484_4,2
485_2,0
486_2,2
487_2,0
488_2,0
489_3,3
49_2,3
490_1,3
491_1,3
492_3,2
494_2,0
495_1,3
496_3,1
497_4,0
499_1,2
50_2,3
500_3,2
501_1,2
502_2,2
503_1,0
504_2,3
505_2,3
506_1,1
507_2,2
508_2,0
509_4,2
51_2,2
510_2,2
511_3,2
512_2,2
514_3,1
515_4,1
516_4,1
517_1,2
518_1,2
519_3,2
520_3,1
521_4,2
522_2,0
523_4,2
524_2,2
525_2,2
526_1,0
527_3,1
528_2,2
529_2,2
53_2,3
530_3,0
55_3,2
56_2,2
57_2,3
58_2,2
59_3,3
6_1,3
60_4,3
62_2,0
63_2,3
65_2,2
66_3,2
67_3,2
68_2,3
7_3,2
70_3,3
71_2,3
72_2,0
73_4,2
75_2,2
76_3,3
77_2,2
78_3,3
79_3,3
8_2,0
80_2,3
81_1,2
82_2,3
84_2,3
85_2,2
86_2,2
87_2,2
89_1,3
9_1,2
90_2,3
91_2,0
92_3,3
93_2,0
94_4,3
95_4,2
96_3,2
97_2,0
98_3,3
99_1,3
