,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000137824""",0,1
1,"""ENSG00000149532""",0,1
2,"""ENSG00000244005""",0,1
3,"""ENSG00000205531""",0,1
4,"""ENSG00000113048""",0,1
5,"""ENSG00000265354""",0,1
6,"""ENSG00000249915""",0,1
7,"""ENSG00000101019""",0,1
8,"""ENSG00000181929""",0,1
9,"""ENSG00000133624""",0,1
10,"""ENSG00000101040""",0,1
11,"""ENSG00000144021""",0,1
12,"""ENSG00000103353""",0,1
13,"""ENSG00000101337""",0,2
14,"""ENSG00000166887""",0,1
15,"""ENSG00000160058""",0,2
16,"""ENSG00000115216""",0,1
17,"""ENSG00000131236""",0,1
18,"""ENSG00000112640""",0,2
19,"""ENSG00000197724""",0,2
20,"""ENSG00000183955""",0,2
21,"""ENSG00000161956""",0,2
22,"""ENSG00000161671""",0,2
23,"""ENSG00000089597""",0,2
24,"""ENSG00000221988""",0,2
25,"""ENSG00000122218""",0,1
26,"""ENSG00000114316""",0,1
27,"""ENSG00000126217""",0,2
28,"""ENSG00000101150""",0,2
29,"""ENSG00000170515""",0,1
30,"""ENSG00000115677""",0,2
31,"""ENSG00000130816""",0,2
32,"""ENSG00000100220""",0,1
33,"""ENSG00000122705""",0,1
34,"""ENSG00000138107""",0,2
35,"""ENSG00000160953""",0,2
36,"""ENSG00000148356""",0,2
37,"""ENSG00000134452""",0,2
38,"""ENSG00000104824""",0,2
39,"""ENSG00000184209""",0,2
40,"""ENSG00000136811""",0,2
41,"""ENSG00000070366""",0,2
42,"""ENSG00000198752""",0,2
43,"""ENSG00000168434""",0,2
44,"""ENSG00000076351""",0,2
45,"""ENSG00000105197""",0,2
46,"""ENSG00000158669""",0,2
47,"""ENSG00000011485""",0,2
48,"""ENSG00000276293""",0,2
49,"""ENSG00000013016""",0,2
50,"""ENSG00000182473""",0,2
51,"""ENSG00000114867""",0,2
52,"""ENSG00000147130""",0,2
53,"""ENSG00000174483""",0,2
54,"""ENSG00000172775""",0,1
55,"""ENSG00000167323""",0,2
56,"""ENSG00000010803""",0,2
57,"""ENSG00000115685""",0,1
58,"""ENSG00000085733""",0,2
59,"""ENSG00000152556""",0,2
60,"""ENSG00000174233""",0,2
61,"""ENSG00000087365""",0,2
62,"""ENSG00000160294""",0,2
63,"""ENSG00000104129""",0,2
64,"""ENSG00000072134""",0,2
65,"""ENSG00000168883""",0,1
66,"""ENSG00000100227""",0,2
67,"""ENSG00000100813""",0,2
68,"""ENSG00000257923""",0,2
69,"""ENSG00000241973""",0,2
70,"""ENSG00000124535""",0,2
71,"""ENSG00000009830""",0,2
72,"""ENSG00000103647""",0,2
73,"""ENSG00000108344""",0,2
74,"""ENSG00000163913""",0,2
75,"""ENSG00000205937""",0,2
76,"""ENSG00000184634""",0,2
77,"""ENSG00000161021""",0,2
78,"""ENSG00000148450""",0,1
79,"""ENSG00000189091""",0,1
80,"""ENSG00000139437""",0,1
81,"""ENSG00000006712""",0,2
82,"""ENSG00000125648""",0,2
83,"""ENSG00000068308""",0,2
84,"""ENSG00000127527""",0,2
85,"""ENSG00000197694""",0,2
86,"""ENSG00000135778""",0,1
87,"""ENSG00000168395""",0,2
88,"""ENSG00000103510""",0,2
89,"""ENSG00000099995""",0,2
90,"""ENSG00000132128""",0,2
91,"""ENSG00000165861""",0,2
92,"""ENSG00000179151""",0,2
93,"""ENSG00000160710""",0,1
94,"""ENSG00000163466""",0,1
95,"""ENSG00000184194""",0,2
96,"""ENSG00000048991""",0,1
97,"""ENSG00000114745""",0,2
98,"""ENSG00000182473""",1,2
99,"""ENSG00000112511""",0,2
100,"""ENSG00000139990""",0,1
101,"""ENSG00000130640""",0,2
102,"""ENSG00000088247""",0,2
103,"""ENSG00000126746""",0,2
104,"""ENSG00000065000""",0,2
105,"""ENSG00000157916""",0,2
106,"""ENSG00000163159""",0,2
107,"""ENSG00000084623""",0,2
108,"""ENSG00000166689""",0,2
109,"""ENSG00000085998""",0,2
110,"""ENSG00000170322""",0,2
111,"""ENSG00000169919""",0,2
112,"""ENSG00000090861""",0,2
113,"""ENSG00000139625""",0,2
114,"""ENSG00000142687""",0,1
115,"""ENSG00000142082""",0,2
116,"""ENSG00000111653""",0,2
117,"""ENSG00000084764""",0,2
118,"""ENSG00000162714""",0,2
119,"""ENSG00000100897""",0,2
120,"""ENSG00000214717""",0,2
121,"""ENSG00000129245""",0,2
122,"""ENSG00000132405""",0,2
123,"""ENSG00000146063""",0,2
124,"""ENSG00000077549""",0,2
125,"""ENSG00000221890""",0,2
126,"""ENSG00000180901""",0,2
127,"""ENSG00000158545""",0,2
128,"""ENSG00000151148""",0,2
129,"""ENSG00000131467""",0,1
130,"""ENSG00000177885""",0,2
131,"""ENSG00000168488""",0,2
132,"""ENSG00000275023""",0,2
133,"""ENSG00000148396""",0,2
134,"""ENSG00000214021""",0,2
135,"""ENSG00000115216""",0,2
136,"""ENSG00000103423""",0,2
137,"""ENSG00000205629""",0,1
138,"""ENSG00000136271""",0,2
139,"""ENSG00000186575""",0,2
140,"""ENSG00000175215""",0,2
141,"""ENSG00000182944""",0,1
142,"""ENSG00000114383""",0,2
143,"""ENSG00000139645""",0,2
144,"""ENSG00000168090""",0,2
145,"""ENSG00000007923""",0,2
146,"""ENSG00000135506""",0,2
147,"""ENSG00000082641""",0,2
148,"""ENSG00000204564""",0,2
149,"""ENSG00000177383""",0,1
150,"""ENSG00000173757""",0,2
151,"""ENSG00000126214""",0,1
152,"""ENSG00000134905""",0,2
153,"""ENSG00000101191""",0,2
154,"""ENSG00000197283""",0,2
155,"""ENSG00000128928""",0,2
156,"""ENSG00000143393""",0,2
157,"""ENSG00000077235""",0,2
158,"""ENSG00000080503""",0,1
159,"""ENSG00000054118""",0,1
160,"""ENSG00000071462""",0,2
161,"""ENSG00000236144""",0,2
162,"""ENSG00000103275""",0,2
163,"""ENSG00000115459""",0,2
164,"""ENSG00000105429""",0,2
165,"""ENSG00000072518""",0,2
166,"""ENSG00000149792""",0,2
167,"""ENSG00000151348""",0,1
168,"""ENSG00000143390""",0,1
169,"""ENSG00000088038""",0,2
170,"""ENSG00000130560""",0,2
171,"""ENSG00000184708""",0,1
172,"""ENSG00000015676""",0,2
173,"""ENSG00000175792""",0,1
174,"""ENSG00000162706""",0,2
175,"""ENSG00000167110""",0,2
176,"""ENSG00000125386""",0,2
177,"""ENSG00000204435""",0,2
178,"""ENSG00000175166""",0,2
179,"""ENSG00000227372""",0,2
180,"""ENSG00000135624""",0,2
181,"""ENSG00000105576""",0,2
182,"""ENSG00000161904""",0,2
183,"""ENSG00000084774""",0,2
184,"""ENSG00000240771""",0,2
185,"""ENSG00000165282""",0,2
186,"""ENSG00000127884""",0,2
187,"""ENSG00000143374""",0,2
188,"""ENSG00000105705""",0,2
189,"""ENSG00000078902""",0,2
190,"""ENSG00000203993""",0,2
191,"""ENSG00000167632""",0,2
192,"""ENSG00000149658""",0,2
193,"""ENSG00000007545""",0,2
194,"""ENSG00000132591""",0,2
195,"""ENSG00000176087""",0,2
