,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000253861""",0,2
1,"""ENSG00000283472""",0,2
2,"""ENSG00000259865""",0,2
3,"""ENSG00000235288""",0,2
4,"""ENSG00000269916""",0,2
5,"""ENSG00000267152""",0,2
6,"""ENSG00000273014""",0,2
7,"""ENSG00000234857""",0,2
8,"""ENSG00000269955""",0,2
9,"""ENSG00000269897""",0,2
10,"""ENSG00000167522""",0,2
11,"""ENSG00000234773""",0,2
12,"""ENSG00000126243""",0,2
13,"""ENSG00000273156""",0,2
14,"""ENSG00000124104""",0,2
15,"""ENSG00000116514""",0,2
16,"""ENSG00000260772""",0,2
17,"""ENSG00000219438""",1,2
18,"""ENSG00000119737""",0,2
19,"""ENSG00000008441""",1,2
20,"""ENSG00000215695""",0,2
21,"""ENSG00000187792""",0,2
22,"""ENSG00000188185""",0,2
23,"""ENSG00000283088""",0,2
24,"""ENSG00000215154""",0,2
25,"""ENSG00000254122""",0,2
26,"""ENSG00000142444""",0,2
27,"""ENSG00000072840""",1,2
28,"""ENSG00000077782""",1,2
29,"""ENSG00000176148""",0,2
30,"""ENSG00000125844""",1,2
31,"""ENSG00000129250""",1,2
32,"""ENSG00000188827""",0,2
33,"""ENSG00000283245""",0,2
34,"""ENSG00000270757""",0,2
35,"""ENSG00000109265""",1,2
36,"""ENSG00000241020""",0,2
37,"""ENSG00000197324""",1,2
38,"""ENSG00000122756""",1,2
39,"""ENSG00000127418""",1,2
40,"""ENSG00000281453""",0,2
41,"""ENSG00000088888""",0,2
42,"""ENSG00000269937""",0,2
43,"""ENSG00000136297""",0,2
44,"""ENSG00000167601""",1,2
45,"""ENSG00000173269""",1,2
46,"""ENSG00000123243""",1,2
47,"""ENSG00000196810""",0,2
48,"""ENSG00000239697""",1,2
49,"""ENSG00000264058""",0,2
50,"""ENSG00000204301""",1,2
51,"""ENSG00000205517""",1,2
52,"""ENSG00000130402""",1,2
53,"""ENSG00000204580""",1,2
