,Ensemble ID,Cluster 1,Cluster 2
0,"""ENSG00000166313""",0,3
1,"""ENSG00000198853""",0,3
2,"""ENSG00000198925""",0,3
3,"""ENSG00000014216""",0,3
4,"""ENSG00000108309""",0,3
5,"""ENSG00000115694""",0,3
6,"""ENSG00000148341""",0,3
7,"""ENSG00000100321""",0,3
8,"""ENSG00000142208""",0,3
9,"""ENSG00000130294""",0,3
10,"""ENSG00000159069""",0,3
11,"""ENSG00000105223""",0,3
12,"""ENSG00000165915""",0,3
13,"""ENSG00000067840""",0,3
14,"""ENSG00000104964""",0,3
15,"""ENSG00000142186""",0,3
16,"""ENSG00000185122""",0,3
17,"""ENSG00000172270""",0,3
18,"""ENSG00000186174""",0,3
19,"""ENSG00000090097""",0,3
20,"""ENSG00000188986""",0,3
21,"""ENSG00000173020""",0,3
22,"""ENSG00000173264""",0,3
23,"""ENSG00000167671""",0,3
24,"""ENSG00000159363""",0,3
25,"""ENSG00000105290""",0,3
26,"""ENSG00000107874""",0,3
27,"""ENSG00000104866""",0,3
28,"""ENSG00000131584""",0,3
29,"""ENSG00000182872""",0,3
30,"""ENSG00000163930""",0,3
31,"""ENSG00000177731""",0,3
32,"""ENSG00000174903""",0,3
33,"""ENSG00000167770""",0,3
34,"""ENSG00000158863""",0,3
35,"""ENSG00000176946""",0,3
36,"""ENSG00000198933""",0,3
37,"""ENSG00000108840""",0,3
38,"""ENSG00000167468""",0,3
39,"""ENSG00000148362""",0,3
40,"""ENSG00000106992""",0,3
41,"""ENSG00000110011""",0,3
42,"""ENSG00000130669""",0,3
43,"""ENSG00000105701""",0,3
44,"""ENSG00000160445""",0,3
45,"""ENSG00000177030""",0,3
46,"""ENSG00000125503""",0,3
47,"""ENSG00000090565""",0,3
48,"""ENSG00000167861""",0,3
49,"""ENSG00000112033""",0,3
50,"""ENSG00000078808""",0,3
51,"""ENSG00000138834""",0,3
52,"""ENSG00000125755""",0,3
53,"""ENSG00000108262""",0,3
54,"""ENSG00000108509""",0,3
55,"""ENSG00000186111""",0,3
56,"""ENSG00000167674""",0,3
57,"""ENSG00000116786""",0,3
58,"""ENSG00000100605""",0,3
59,"""ENSG00000103266""",0,3
60,"""ENSG00000196642""",0,3
61,"""ENSG00000203879""",0,3
62,"""ENSG00000196961""",0,3
63,"""ENSG00000198910""",0,3
64,"""ENSG00000129925""",0,3
65,"""ENSG00000175756""",0,3
66,"""ENSG00000160469""",0,3
67,"""ENSG00000134030""",0,3
68,"""ENSG00000182196""",0,3
69,"""ENSG00000167815""",0,3
70,"""ENSG00000123159""",0,3
71,"""ENSG00000100241""",0,3
72,"""ENSG00000179526""",0,3
