Genes,Cluster
100_2,1
101_3,1
102_2,0
103_3,1
104_2,1
105_2,0
106_4,0
107_4,3
109_1,3
11_4,3
110_3,3
111_2,0
112_2,0
113_2,1
114_3,1
115_1,2
116_4,0
117_1,3
119_1,3
120_1,0
121_3,0
122_2,1
123_3,3
124_4,0
125_4,3
126_1,3
127_2,3
128_3,3
129_2,1
130_3,3
131_3,3
132_3,3
133_4,1
134_2,0
136_2,1
137_1,3
138_2,0
139_1,3
141_2,3
142_1,3
144_3,3
145_1,3
146_2,3
147_2,0
148_4,3
149_1,3
15_2,0
150_4,3
152_2,0
153_1,3
154_2,0
155_3,0
156_2,0
157_4,1
158_3,1
159_3,3
160_4,3
161_2,0
162_1,3
163_1,0
165_2,0
166_2,1
167_2,1
168_2,1
17_1,0
171_2,1
172_1,1
173_1,2
174_2,1
176_2,1
177_1,1
178_4,1
179_2,1
18_1,3
180_2,1
181_2,1
182_2,1
183_2,1
184_3,1
185_2,1
186_2,1
187_2,1
188_2,0
189_1,2
19_2,1
190_2,1
191_3,1
192_2,3
193_2,0
196_3,0
197_2,3
198_4,3
199_2,3
2_1,3
20_2,1
200_2,0
201_2,1
202_3,0
203_4,1
204_3,1
205_2,1
206_3,0
207_2,1
208_3,1
209_4,1
21_2,0
212_3,1
215_2,3
216_2,0
217_1,0
218_1,0
219_2,0
22_2,0
220_2,1
221_3,0
223_4,0
224_4,0
225_2,1
226_4,0
227_2,0
228_4,0
229_1,1
23_2,2
232_4,1
233_2,0
234_4,0
235_3,0
236_3,0
237_1,0
24_2,3
240_2,1
241_3,1
242_3,0
243_1,0
244_3,0
245_3,0
246_1,0
247_3,0
248_3,3
249_4,1
25_3,3
250_3,1
251_1,1
252_2,0
253_4,1
254_1,3
26_3,3
263_3,0
264_1,0
265_1,0
266_1,0
267_2,3
268_3,0
269_3,0
27_2,3
270_4,1
271_2,1
272_4,1
273_2,3
276_2,1
277_2,3
278_3,1
279_2,0
28_2,1
280_4,3
281_2,0
283_3,1
284_4,1
285_3,0
286_1,0
287_2,0
288_1,0
289_2,0
29_3,0
291_1,1
292_1,1
293_1,1
294_4,1
295_1,1
296_3,1
298_3,3
299_3,1
30_2,2
300_4,0
301_2,0
302_4,1
303_2,0
305_2,0
307_1,3
308_1,3
309_2,0
310_2,3
311_1,3
312_2,3
313_1,3
314_1,1
315_1,3
316_1,1
317_1,0
318_1,1
319_1,1
32_1,3
320_1,1
321_1,1
322_1,2
324_1,2
326_2,2
327_2,2
328_2,1
329_2,2
33_4,3
330_2,1
331_2,1
332_2,1
333_3,1
334_4,2
335_1,1
336_3,1
337_2,2
339_2,0
34_2,1
340_2,1
341_2,1
342_2,1
343_2,1
345_3,0
347_1,0
348_1,2
349_1,1
35_1,2
350_1,2
351_1,1
352_1,2
353_1,2
354_1,1
355_1,2
356_1,2
357_2,1
358_2,2
359_2,1
360_2,1
361_2,0
362_2,1
363_2,1
364_4,1
365_3,1
367_3,1
368_3,2
369_2,1
37_2,1
370_3,1
371_3,1
372_3,1
374_3,2
375_1,1
376_1,1
377_1,1
378_2,1
379_1,1
38_2,2
380_2,0
382_3,1
383_4,1
384_1,1
385_3,2
386_1,1
387_2,1
388_4,2
389_1,1
39_2,0
390_2,1
391_2,1
392_3,1
394_1,1
396_1,1
397_4,3
398_3,2
399_3,2
4_1,0
40_2,1
401_2,3
402_3,1
403_4,1
404_1,1
405_1,1
406_1,2
407_2,1
409_3,1
41_1,0
410_2,1
411_4,0
412_3,3
413_1,3
414_1,3
415_1,3
416_4,3
417_4,1
418_3,2
419_4,1
42_1,3
420_4,1
421_3,2
422_3,2
423_2,2
424_2,1
425_1,1
426_3,1
427_2,1
428_4,3
429_3,2
43_1,3
430_3,3
431_3,3
432_3,3
433_2,3
434_2,2
435_2,2
436_2,3
437_4,3
438_2,3
440_2,2
441_2,2
442_2,3
443_2,3
445_2,1
446_3,2
447_1,2
448_3,2
449_3,2
45_3,3
450_3,2
451_4,2
452_1,2
453_2,0
454_3,2
456_3,3
457_3,3
458_3,3
459_4,3
46_4,1
461_3,3
462_3,0
463_3,2
464_3,2
465_2,1
466_1,2
467_3,3
468_1,2
47_4,1
470_2,1
471_2,2
473_4,3
474_3,1
475_3,1
476_3,1
477_4,3
478_3,0
479_2,2
48_2,1
480_1,1
482_3,0
483_3,2
484_4,1
485_2,0
486_2,1
487_2,1
488_2,1
489_3,3
49_2,3
490_1,3
491_1,3
492_3,3
494_2,2
495_1,3
496_3,2
497_4,0
499_1,3
50_2,3
500_3,3
501_1,3
502_2,3
503_1,1
504_2,3
505_2,3
506_1,2
507_2,2
508_2,3
509_4,3
51_2,1
510_2,3
511_3,3
512_2,1
514_3,2
515_4,2
516_4,2
517_1,1
518_1,1
519_3,3
520_3,2
521_4,2
522_2,1
523_4,1
524_2,3
525_2,3
526_1,2
527_3,2
528_2,3
529_2,3
53_2,0
530_3,0
55_3,1
56_2,3
57_2,3
58_2,0
59_3,3
6_1,0
60_4,3
62_2,0
63_2,1
65_2,3
66_3,3
67_3,3
68_2,0
7_3,1
70_3,3
71_2,0
72_2,1
73_4,3
75_2,1
76_3,3
77_2,1
78_3,3
79_3,3
8_2,1
80_2,0
81_1,3
82_2,1
84_2,3
85_2,3
86_2,1
87_2,3
89_1,3
9_1,0
90_2,1
91_2,0
92_3,3
93_2,0
94_4,3
95_4,3
96_3,1
97_2,1
98_3,1
99_1,0
